rank,team,rating,record,strength_of_schedule
1,North Carolina,89.47047550257861,11-3,0.6687790383622889
2,Ole Miss,81.8883462495043,12-4,0.38095687217324953
3,Ohio State,81.76184672014796,10-2,0.3963907619052304
4,LSU,93.86798568310768,12-3,0.3061800891057719
5,Miami,95.61986293990408,10-1,0.4368659523304609
6,Kansas State,89.49779936796087,9-2,0.7330981856844958
7,Florida State,84.47273168848592,11-1,0.7231398312621191
8,Arizona,89.64068007839609,8-2,0.5852374630229666
9,Penn State,84.77522092050289,11-3,0.7585515083530641
10,Virginia,94.3667897420001,9-3,0.7095383896513683
11,Georgia,89.5033181628019,10-2,0.5618677302778234
12,Navy,97.96930591853076,12-4,0.4132269058210604
13,Utah,85.69295281664864,9-4,0.3965468590374881
14,Michigan State,93.11722986149232,8-4,0.7615779546036846
15,Alabama,88.46371649911822,11-4,0.397662114168958
16,Washington,81.22706304084467,8-4,0.3136183059753692
17,Virginia Tech,81.58744785381667,8-2,0.7184072448086445
18,Baylor,87.02952005098032,11-3,0.6557768726025104
19,UCLA,87.91407889609314,11-2,0.6941724448235016
20,USC,83.25020188086081,10-2,0.6846394783874152
21,TCU,87.64663233574713,12-2,0.30267488114395935
22,Michigan,81.7995662312594,10-2,0.7908077109896879
23,Oregon,80.18651696640849,11-3,0.4641219042820028
24,Tennessee,96.58581266501619,9-0,0.37041610062574415
25,Notre Dame,86.69030934034393,10-3,0.3041952012736379
