rank,team,rating,record,strength_of_schedule,offensive_rating,defensive_rating,games_played
1,USC,57.936600053757616,49-33,1.0,100.0,96.11501434834823,82
2,Oregon,57.75598019352679,60-25,0.916,96.11501434834823,100.0,85
3,Alabama,52.084081432873866,62-15,0.5,87.84322157917293,62.961687795978314,77
4,Ohio State,51.91754181346766,73-11,0.458,81.50070026424179,93.8038505290757,84
5,Notre Dame,50.56327755031616,62-16,0.304,79.72227459056906,78.09430056330928,78
6,Utah,49.220486417550035,49-34,0.674,92.91462555159005,86.66559592217222,83
7,Texas A&M,49.07866476620718,45-32,0.5,87.84322157917293,62.961687795978314,77
8,Georgia,49.076490091035396,69-17,0.013,78.10093216386373,68.10565540873777,86
9,Missouri,47.71471650004738,42-33,0.807,94.52011470008526,82.94633563430432,75
10,Tennessee,47.426552693887515,41-33,0.565,89.09641984899754,75.92051257591054,74
11,Penn State,46.22790812524577,51-29,0.648,81.39448462544237,82.8975016036378,80
12,Michigan,46.08019308156588,61-21,0.44,86.46109754681856,76.30176648399662,82
13,Vanderbilt,45.84371496712087,26-43,0.622,95.44043694081758,68.97090844838503,69
14,Clemson,45.5399147662072,66-18,0.5,87.84322157917293,62.961687795978314,84
15,SMU,44.202804073898186,48-30,0.709,88.98992233301672,86.7491088768323,78
16,Oklahoma,43.78108924128018,59-23,0.765,82.94633563430432,94.52011470008526,82
17,Auburn,43.65262309954053,35-43,0.5,87.84322157917293,62.961687795978314,78
18,Arkansas,43.019841633018316,20-52,0.872,93.611714939433,66.63827507773789,72
19,Cincinnati,42.50215634137811,39-35,0.772,98.17513141448059,79.30960711614577,74
20,Georgia Tech,41.63817354797925,40-35,0.665,93.15271238636268,74.34494857494133,75
21,Miami,40.065733306964944,46-35,0.402,72.5469449525369,89.15827958472748,81
22,Louisville,40.064157709351285,42-37,0.782,86.7491088768323,88.98992233301672,79
23,Kansas State,39.394428290095675,49-33,0.977,86.66559592217222,92.91462555159005,82
24,Nebraska,39.166459224243205,29-45,0.938,82.8975016036378,81.39448462544237,74
25,LSU,38.708475560100304,55-23,0.398,76.68588100818054,83.01365316119185,78
