game_id,home_team,away_team,winner_recommendation,confidence_level,score_prediction,spread_analysis,over_under_analysis,betting_recommendations,upset_probability,key_factors,strategic_advantages,game_script_prediction
401756964,Kansas,Utah,Utah,0.6592713171846964,"{'home_score': 32, 'away_score': 21}","{'predicted_spread': 10.07366108764976, 'recommendation': 'Away'}","{'predicted_total': 41.282270899469424, 'recommendation': 'Under'}","['Home ATS', 'Over Total']",0.38935099684054075,"['Special teams', 'Turnover margin', 'Third downs']","{'home': ['Run game', 'Home field'], 'away': ['Pass game', 'Coaching']}",Defensive battle
401756961,Arizona State,Arizona,Arizona State,0.8901079936198601,"{'home_score': 41, 'away_score': 35}","{'predicted_spread': -9.68857013902188, 'recommendation': 'Home'}","{'predicted_total': 44.17959260940592, 'recommendation': 'Under'}","['Prop Bet', 'Over Total']",0.34901439378012883,"['Third downs', 'Special teams', 'Red zone']","{'home': ['Run game', 'Pass defense'], 'away': ['Pass game', 'Run defense']}",Blowout
401760426,New Mexico,San Diego State,San Diego State,0.7379087125341891,"{'home_score': 39, 'away_score': 28}","{'predicted_spread': 0.11887458757846048, 'recommendation': 'Away'}","{'predicted_total': 46.413284474382934, 'recommendation': 'Under'}","['Prop Bet', 'Over Total']",0.18578715880662533,"['Turnover margin', 'Red zone', 'Special teams']","{'home': ['Pass defense', 'Home field'], 'away': ['Run defense', 'Pass game']}",Defensive battle
401752788,Mississippi State,Ole Miss,Ole Miss,0.885131482343911,"{'home_score': 27, 'away_score': 20}","{'predicted_spread': -10.828280243630687, 'recommendation': 'Home'}","{'predicted_total': 47.715477007174385, 'recommendation': 'Under'}","['Home ATS', 'Under Total']",0.2548256075526145,"['Turnover margin', 'Red zone', 'Third downs']","{'home': ['Home field', 'Pass defense'], 'away': ['Pass game', 'Coaching']}",Close game
401762519,Florida Atlantic,East Carolina,East Carolina,0.8178511429484261,"{'home_score': 40, 'away_score': 30}","{'predicted_spread': -5.124015045726235, 'recommendation': 'Home'}","{'predicted_total': 46.71129679213096, 'recommendation': 'Under'}","['Under Total', 'Home ATS']",0.3919807307983194,"['Turnover margin', 'Red zone', 'Special teams']","{'home': ['Run game', 'Home field'], 'away': ['Run defense', 'Coaching']}",Blowout
401762442,North Texas,Temple,Temple,0.6499378147655017,"{'home_score': 37, 'away_score': 29}","{'predicted_spread': -12.862607214932268, 'recommendation': 'Home'}","{'predicted_total': 48.32542068111394, 'recommendation': 'Under'}","['Away ML', 'Over Total']",0.32889303264116476,"['Turnover margin', 'Third downs', 'Special teams']","{'home': ['Run game', 'Pass defense'], 'away': ['Pass game', 'Run defense']}",Close game
401752790,South Carolina,Clemson,South Carolina,0.8329684040649713,"{'home_score': 31, 'away_score': 30}","{'predicted_spread': 4.054506488790505, 'recommendation': 'Away'}","{'predicted_total': 69.17121016787036, 'recommendation': 'Over'}","['Over Total', 'Away ML']",0.20927102992792332,"['Third downs', 'Turnover margin', 'Special teams']","{'home': ['Pass defense', 'Home field'], 'away': ['Pass game', 'Run defense']}",Defensive battle
401752921,Michigan,Ohio State,Michigan,0.8654588322493681,"{'home_score': 24, 'away_score': 25}","{'predicted_spread': -5.884788488240822, 'recommendation': 'Home'}","{'predicted_total': 66.07334345782147, 'recommendation': 'Over'}","['Under Total', 'Over Total']",0.25470542706639643,"['Red zone', 'Special teams', 'Turnover margin']","{'home': ['Run game', 'Pass defense'], 'away': ['Pass game', 'Run defense']}",Defensive battle
401756968,West Virginia,Texas Tech,West Virginia,0.8575012008250563,"{'home_score': 24, 'away_score': 29}","{'predicted_spread': -12.718128406497545, 'recommendation': 'Home'}","{'predicted_total': 52.5721395583572, 'recommendation': 'Under'}","['Home ATS', 'Away ML']",0.23793103595759663,"['Third downs', 'Red zone', 'Special teams']","{'home': ['Pass defense', 'Home field'], 'away': ['Run defense', 'Coaching']}",Blowout
401762872,Central Michigan,Toledo,Toledo,0.8744956765627404,"{'home_score': 22, 'away_score': 23}","{'predicted_spread': 13.716682697541291, 'recommendation': 'Away'}","{'predicted_total': 49.1823448072869, 'recommendation': 'Under'}","['Under Total', 'Home ATS']",0.10875770687643481,"['Third downs', 'Special teams', 'Red zone']","{'home': ['Home field', 'Pass defense'], 'away': ['Run defense', 'Coaching']}",Blowout
401762875,Miami (OH),Ball State,Miami (OH),0.6580784443406185,"{'home_score': 25, 'away_score': 27}","{'predicted_spread': -0.29476814486317693, 'recommendation': 'Home'}","{'predicted_total': 61.23868867229656, 'recommendation': 'Over'}","['Under Total', 'Over Total']",0.11953183697278508,"['Special teams', 'Turnover margin', 'Third downs']","{'home': ['Run game', 'Pass defense'], 'away': ['Run defense', 'Coaching']}",Defensive battle
401757310,Delaware,UTEP,UTEP,0.7892938019739195,"{'home_score': 22, 'away_score': 28}","{'predicted_spread': 10.357878095413454, 'recommendation': 'Away'}","{'predicted_total': 52.579207310322154, 'recommendation': 'Under'}","['Prop Bet', 'Away ML']",0.20900361653402602,"['Special teams', 'Red zone', 'Third downs']","{'home': ['Run game', 'Home field'], 'away': ['Coaching', 'Pass game']}",Close game
401761663,Marshall,Georgia Southern,Marshall,0.7635394307437312,"{'home_score': 22, 'away_score': 39}","{'predicted_spread': -9.136518308517637, 'recommendation': 'Home'}","{'predicted_total': 53.697767705339615, 'recommendation': 'Under'}","['Home ATS', 'Over Total']",0.3305662732250308,"['Red zone', 'Special teams', 'Turnover margin']","{'home': ['Pass defense', 'Home field'], 'away': ['Coaching', 'Pass game']}",Close game
401757314,Missouri State,Louisiana Tech,Louisiana Tech,0.6940633178803288,"{'home_score': 21, 'away_score': 27}","{'predicted_spread': -5.6798725355634865, 'recommendation': 'Home'}","{'predicted_total': 54.86845679262356, 'recommendation': 'Under'}","['Over Total', 'Away ML']",0.31773028286635796,"['Red zone', 'Special teams', 'Turnover margin']","{'home': ['Home field', 'Run game'], 'away': ['Pass game', 'Run defense']}",High-scoring
