matchup,spread,predicted_margin,home_win_prob,away_win_prob,ats_pick,model_edge_pts,confidence_grade,model_agreement,ensemble_confidence,model_summary
Notre Dame @ Stanford,32.5,-15.484876479962432,0.0847164461016655,0.9152835538983344,Stanford +32.5,17.01512352003757,High,high,0.9539982584076726,"Models see the away side stronger than market: predicted margin -15.5, line Stanford +32.5 (home line), giving about 17.0 pts of value on Stanford. Home win prob 8%, agreement high, model confidence 0.95."
Indiana @ Purdue,28.5,-14.718979058764065,0.0761585453152656,0.9238414546847344,Purdue +28.5,13.781020941235935,High,high,0.8995759385680855,"Models see the away side stronger than market: predicted margin -14.7, line Purdue +28.5 (home line), giving about 13.8 pts of value on Purdue. Home win prob 8%, agreement high, model confidence 0.90."
Charlotte @ Tulane,-30.0,16.847397753979475,0.854551932811737,0.1454480671882629,Charlotte +30.0,13.152602246020525,Low,moderate,0.549936360475249,"Models see the home side stronger than market: predicted margin +16.8, line Tulane -30.0 (home line), giving about 13.2 pts of value on Charlotte. Home win prob 85%, agreement moderate, model confidence 0.55."
Rice @ South Florida,-27.5,16.673183357370444,0.8792778408527373,0.1207221591472627,Rice +27.5,10.826816642629556,Medium,high,0.6420462988351805,"Models see the home side stronger than market: predicted margin +16.7, line South Florida -27.5 (home line), giving about 10.8 pts of value on Rice. Home win prob 88%, agreement high, model confidence 0.64."
Texas Tech @ West Virginia,21.0,-10.73529628564288,0.1301990666985512,0.8698009333014488,West Virginia +21.0,10.26470371435712,High,high,0.8932466942274547,"Models see the away side stronger than market: predicted margin -10.7, line West Virginia +21.0 (home line), giving about 10.3 pts of value on West Virginia. Home win prob 13%, agreement high, model confidence 0.89."
Georgia State @ Old Dominion,-26.5,16.433793859162773,0.8813196337223053,0.1186803662776947,Georgia State +26.5,10.066206140837227,Medium,high,0.6517715348363868,"Models see the home side stronger than market: predicted margin +16.4, line Old Dominion -26.5 (home line), giving about 10.1 pts of value on Georgia State. Home win prob 88%, agreement high, model confidence 0.65."
James Madison @ Coastal Carolina,22.0,-12.499141645080416,0.0804711812734604,0.9195288187265396,Coastal Carolina +22.0,9.500858354919584,High,high,0.9470709589369728,"Models see the away side stronger than market: predicted margin -12.5, line Coastal Carolina +22.0 (home line), giving about 9.5 pts of value on Coastal Carolina. Home win prob 8%, agreement high, model confidence 0.95."
UCLA @ USC,-21.0,14.566214998045506,0.8665253615379332,0.1334746384620667,UCLA +21.0,6.433785001954494,Medium,high,0.6233162196844573,"Models see the home side stronger than market: predicted margin +14.6, line USC -21.0 (home line), giving about 6.4 pts of value on UCLA. Home win prob 87%, agreement high, model confidence 0.62."
Georgia @ Georgia Tech,13.5,-7.30982705587118,0.1753072513591242,0.8246927486408757,Georgia Tech +13.5,6.19017294412882,Medium,high,0.7846834718374209,"Models see the away side stronger than market: predicted margin -7.3, line Georgia Tech +13.5 (home line), giving about 6.2 pts of value on Georgia Tech. Home win prob 18%, agreement high, model confidence 0.78."
Temple @ North Texas,-19.5,13.993845267925002,0.8626161551475524,0.1373838448524476,Temple +19.5,5.506154732074998,Medium,high,0.759591622538851,"Models see the home side stronger than market: predicted margin +14.0, line North Texas -19.5 (home line), giving about 5.5 pts of value on Temple. Home win prob 86%, agreement high, model confidence 0.76."
Utah @ Kansas,13.0,-7.962241390997773,0.1520067393903173,0.8479932606096827,Kansas +13.0,5.037758609002227,Medium,high,0.7698099418628923,"Models see the away side stronger than market: predicted margin -8.0, line Kansas +13.0 (home line), giving about 5.0 pts of value on Kansas. Home win prob 15%, agreement high, model confidence 0.77."
Penn State @ Rutgers,12.0,-7.180804775950387,0.179915189927724,0.820084810072276,Rutgers +12.0,4.819195224049613,Medium,high,0.8620353817389326,"Models see the away side stronger than market: predicted margin -7.2, line Rutgers +12.0 (home line), giving about 4.8 pts of value on Rutgers. Home win prob 18%, agreement high, model confidence 0.86."
Texas A&M @ Texas,2.0,2.4795028037764695,0.5249261749179689,0.4750738250820311,Texas +2.0,4.4795028037764695,Medium,moderate,0.9408025744590158,"Models see the home side stronger than market: predicted margin +2.5, line Texas +2.0 (home line), giving about 4.5 pts of value on Texas. Home win prob 52%, agreement moderate, model confidence 0.94."
SMU @ California,13.0,-8.60931012878837,0.1305924871563911,0.8694075128436088,California +13.0,4.390689871211629,Medium,high,0.8013663480846931,"Models see the away side stronger than market: predicted margin -8.6, line California +13.0 (home line), giving about 4.4 pts of value on California. Home win prob 13%, agreement high, model confidence 0.80."
UAB @ Tulsa,-9.5,5.212794796451377,0.6225437460849299,0.3774562539150701,UAB +9.5,4.287205203548623,Low,moderate,0.3767896410390936,"Models see the home side stronger than market: predicted margin +5.2, line Tulsa -9.5 (home line), giving about 4.3 pts of value on UAB. Home win prob 62%, agreement moderate, model confidence 0.38."
LSU @ Oklahoma,-10.0,5.728369211117747,0.6409571180373002,0.3590428819626998,LSU +10.0,4.271630788882253,Low,moderate,0.2218581255321243,"Models see the home side stronger than market: predicted margin +5.7, line Oklahoma -10.0 (home line), giving about 4.3 pts of value on LSU. Home win prob 64%, agreement moderate, model confidence 0.22."
Ball State @ Miami (OH),-17.5,13.262995856894186,0.8681073999404907,0.1318926000595093,Ball State +17.5,4.237004143105814,Medium,high,0.7530710804708269,"Models see the home side stronger than market: predicted margin +13.3, line Miami (OH) -17.5 (home line), giving about 4.2 pts of value on Ball State. Home win prob 87%, agreement high, model confidence 0.75."
Bowling Green @ Massachusetts,14.5,-10.75923767591147,0.0937899047136306,0.9062100952863692,Massachusetts +14.5,3.7407623240885304,Low,high,0.8685046486068164,"Models see the away side stronger than market: predicted margin -10.8, line Massachusetts +14.5 (home line), giving about 3.7 pts of value on Massachusetts. Home win prob 9%, agreement high, model confidence 0.87."
