Date,Time (ET),Game,Proj. winner,Proj. margin,Win prob.,Proj. score (rounded),Spread,ATS Pick,Spread diff,O/U,O/U pick,O/U diff,,Team,Conference,Record,SP+,Rk,Off. SP+,Rk,Def. SP+,Rk,ST SP+,Rk,LW Rk,Rk Chg
25-Nov,4:30 PM,Bowling Green at Massachusetts,Bowling Green,16.7,85%,32-15,Bowling Green -15.5,Bowling Green,1.2,45.5,Over,2.0,,Ohio State,Big Ten,11-0,32.4,1,40.4,6,8.3,1,0.3,41,1,0
25-Nov,7:30 PM,Western Michigan at Eastern Michigan,Western Michigan,8.6,70%,29-20,Western Michigan -6.5,Western Michigan,2.1,45.5,Over,3.3,,Indiana,Big Ten,11-0,29.9,2,40.6,5,11.2,2,0.4,27,2,0
27-Nov,7:30 PM,Navy at Memphis,Memphis,11.5,76%,38-27,Memphis -5.5,Memphis,6.0,58.5,Over,6.5,,Texas Tech,Big 12,10-1,28.7,3,41.1,3,12.8,4,0.4,31,3,0
28-Nov,12:00 PM,Iowa at Nebraska,Iowa,4.1,60%,26-22,Iowa -5.5,Nebraska,1.4,38.5,Over,8.7,,Oregon,Big Ten,10-1,26.6,4,39.2,11,12.9,5,0.3,45,4,0
28-Nov,12:00 PM,Kent State at Northern Illinois,Northern Illinois,6.2,65%,25-19,Northern Illinois -4.5,Northern Illinois,1.7,44.5,Under,-0.2,,Notre Dame,Indies,9-2,24.3,5,40.0,7,15.9,11,0.2,57,5,0
28-Nov,12:00 PM,Ohio at Buffalo,Ohio,2.9,57%,25-22,Ohio -6.5,Buffalo,3.6,47.5,Under,-0.3,,Georgia,SEC,10-1,24.3,6,38.9,14,15.3,8,0.7,1,6,0
28-Nov,12:00 PM,Ole Miss at Mississippi State,Ole Miss,14.3,82%,37-22,Ole Miss -7.5,Ole Miss,6.8,63.5,Under,-4.4,,Texas A&M,SEC,11-0,22.6,7,41.4,2,18.7,22,0.0,81,9,2
28-Nov,12:00 PM,Utah at Kansas,Utah,15.1,83%,37-22,Utah -13.5,Utah,1.6,59.5,Under,-1.1,,Ole Miss,SEC,10-1,21.9,8,39.5,10,18.2,20,0.7,2,7,-1
28-Nov,3:00 PM,Air Force at Colorado State,Air Force,6.2,65%,30-24,Air Force -3.5,Air Force,2.7,48.5,Over,5.9,,Utah,Big 12,9-2,21.4,9,39.1,12,17.7,18,0.0,77,8,-1
28-Nov,3:30 PM,Georgia at Georgia Tech,Georgia,12.9,79%,36-23,Georgia -13.5,Georgia Tech,0.6,59.5,Under,-1.3,,Alabama,SEC,9-2,21.0,10,35.7,19,14.3,6,-0.4,102,11,1
28-Nov,3:30 PM,San Diego State at New Mexico,San Diego State,4.7,62%,26-22,San Diego State -1.5,San Diego State,3.2,41.5,Over,6.2,,Miami-FL,ACC,9-2,20.2,11,35.8,18,16.2,12,0.6,15,10,-1
28-Nov,3:30 PM,Temple at North Texas,North Texas,24.0,93%,45-20,North Texas -19.5,North Texas,4.5,64.5,Over,0.5,,Oklahoma,SEC,9-2,19.5,12,31.7,43,12.7,3,0.5,16,12,0
28-Nov,4:00 PM,Boise State at Utah State,Boise State,3.5,59%,31-27,Boise State -3.5,Boise State,0.0,56.5,Over,1.2,,Vanderbilt,SEC,9-2,19.3,13,39.8,8,21.2,34,0.6,4,18,5
28-Nov,7:30 PM,Indiana at Purdue,Indiana,33.9,98%,43-9,Indiana -28.5,Indiana,5.4,53.5,Under,-1.4,,Tennessee,SEC,8-3,17.5,14,41.0,4,23.8,49,0.4,33,14,0
28-Nov,7:30 PM,Texas A&M at Texas,Texas A&M,5.3,63%,30-25,Texas A&M -2.5,Texas A&M,2.8,51.5,Over,3.4,,Washington,Big Ten,8-3,17.5,15,34.6,24,16.8,13,-0.4,108,20,5
28-Nov,9:00 PM,Arizona at Arizona State,Arizona,4.0,60%,28-24,Arizona -1.5,Arizona,2.5,49.5,Over,3.1,,BYU,Big 12,10-1,17.3,16,34.7,23,17.9,19,0.4,25,17,1
29-Nov,12:00 PM,Ball State at Miami-OH,Miami-OH,20.3,90%,33-13,Miami-OH -17.5,Miami-OH,2.8,41.5,Over,4.4,,Penn State,Big Ten,5-6,16.4,17,34.9,21,19.1,23,0.6,8,19,2
29-Nov,12:00 PM,Clemson at South Carolina,Clemson,0.5,51%,24-24,South Carolina -2.5,Clemson,3.0,46.5,Over,1.5,,North Texas,AAC,10-1,16.4,18,43.4,1,27.1,71,0.1,65,24,6
29-Nov,12:00 PM,Colorado at Kansas State,Kansas State,15.4,83%,36-20,Kansas State -17.5,Colorado,2.1,51.5,Over,4.7,,USC,Big Ten,8-3,16.3,19,39.5,9,22.8,42,-0.3,96,13,-6
29-Nov,12:00 PM,East Carolina at Florida Atlantic,East Carolina,11.1,76%,37-26,East Carolina -6.5,East Carolina,4.6,66.5,Under,-4.3,,Missouri,SEC,7-4,15.4,20,33.0,34,17.1,15,-0.5,115,16,-4
29-Nov,12:00 PM,Houston at Baylor,Houston,3.4,58%,31-28,Baylor -2.5,Houston,5.9,60.5,Under,-1.2,,Iowa,Big Ten,7-4,15.4,21,29.5,59,14.6,7,0.4,30,15,-6
29-Nov,12:00 PM,Iowa State at Oklahoma State,Iowa State,23.4,93%,36-13,Iowa State -14.5,Iowa State,8.9,49.5,Over,0.1,,Michigan,Big Ten,9-2,15.2,22,31.6,45,15.8,10,-0.5,114,22,0
29-Nov,12:00 PM,Kentucky at Louisville,Louisville,7.1,67%,29-22,Louisville -3.5,Louisville,3.6,47.5,Over,3.7,,Texas,SEC,8-3,14.9,23,32.2,39,17.5,17,0.2,56,21,-2
29-Nov,12:00 PM,Miami-FL at Pittsburgh,Miami-FL,6.0,65%,30-24,Miami-FL -6.5,Pittsburgh,0.5,51.5,Over,3.4,,SMU,ACC,8-3,14.8,24,34.4,27,19.2,25,-0.3,95,26,2
29-Nov,12:00 PM,Ohio State at Michigan,Ohio State,14.6,82%,31-17,Ohio State -11.5,Ohio State,3.1,44.5,Over,3.5,,Arizona,Big 12,8-3,13.0,25,34.4,26,20.9,33,-0.5,113,33,8
29-Nov,12:00 PM,Texas Tech at West Virginia,Texas Tech,31.5,98%,42-11,Texas Tech -20.5,Texas Tech,11.0,52.5,Over,1.0,,James Madison,Sun Belt,10-1,12.5,26,32.6,36,19.8,26,-0.4,98,25,-1
29-Nov,12:00 PM,Toledo at Central Michigan,Toledo,10.3,74%,28-18,Toledo -10.5,Central Michigan,0.2,44.5,Over,1.2,,Auburn,SEC,5-6,12.5,27,29.8,54,17.4,16,0.1,59,32,5
