id,start_date,season,season_type,week,neutral_site,home_team,home_conference,away_team,away_conference,home_points,away_points,margin,home_elo,away_elo,home_talent,away_talent,spread,home_adjusted_epa,home_adjusted_epa_allowed,away_adjusted_epa,away_adjusted_epa_allowed,home_adjusted_rushing_epa,home_adjusted_rushing_epa_allowed,away_adjusted_rushing_epa,away_adjusted_rushing_epa_allowed,home_adjusted_passing_epa,home_adjusted_passing_epa_allowed,away_adjusted_passing_epa,away_adjusted_passing_epa_allowed,home_adjusted_success,home_adjusted_success_allowed,away_adjusted_success,away_adjusted_success_allowed,home_adjusted_standard_down_success,home_adjusted_standard_down_success_allowed,away_adjusted_standard_down_success,away_adjusted_standard_down_success_allowed,home_adjusted_passing_down_success,home_adjusted_passing_down_success_allowed,away_adjusted_passing_down_success,away_adjusted_passing_down_success_allowed,home_adjusted_line_yards,home_adjusted_line_yards_allowed,away_adjusted_line_yards,away_adjusted_line_yards_allowed,home_adjusted_second_level_yards,home_adjusted_second_level_yards_allowed,away_adjusted_second_level_yards,away_adjusted_second_level_yards_allowed,home_adjusted_open_field_yards,home_adjusted_open_field_yards_allowed,away_adjusted_open_field_yards,away_adjusted_open_field_yards_allowed,home_adjusted_explosiveness,home_adjusted_explosiveness_allowed,away_adjusted_explosiveness,away_adjusted_explosiveness_allowed,home_adjusted_rush_explosiveness,home_adjusted_rush_explosiveness_allowed,away_adjusted_rush_explosiveness,away_adjusted_rush_explosiveness_allowed,home_adjusted_pass_explosiveness,home_adjusted_pass_explosiveness_allowed,away_adjusted_pass_explosiveness,away_adjusted_pass_explosiveness_allowed,home_total_havoc_offense,home_front_seven_havoc_offense,home_db_havoc_offense,away_total_havoc_offense,away_front_seven_havoc_offense,away_db_havoc_offense,home_total_havoc_defense,home_front_seven_havoc_defense,home_db_havoc_defense,away_total_havoc_defense,away_front_seven_havoc_defense,away_db_havoc_defense,home_points_per_opportunity_offense,away_points_per_opportunity_offense,home_points_per_opportunity_defense,away_points_per_opportunity_defense,home_avg_start_offense,home_avg_start_defense,away_avg_start_offense,away_avg_start_defense
401762864,2025-11-19 00:00:00+00:00,2025,regular,13,False,Northern Illinois,,Western Michigan,,,,,1289.0,1378.0,471.01,534.35,-3.75,-0.0394063834959657,0.0947779349239605,-0.0947779349239605,0.0394063834959657,0.0122616176844466,0.0399962665838731,-0.0399962665838731,-0.0122616176844466,-0.0473858074668908,0.1255603353474352,-0.1255603353474352,0.0473858074668908,-0.0582437554368087,0.0129305461440294,-0.0129305461440294,0.0582437554368087,-0.0544776119402985,-0.0437973849027579,0.0437973849027579,0.0544776119402985,-0.0527243155326646,0.1317340067340067,-0.1317340067340067,0.0527243155326646,0.1333050547314496,0.1029894685531767,-0.1029894685531767,-0.1333050547314496,-0.1486026801525396,0.05828212989212,-0.05828212989212,0.1486026801525396,0.5141544011662864,0.0899277806996163,-0.0899277806996163,-0.5141544011662864,0.091498240109682,0.1672384263596802,-0.1672384263596802,-0.091498240109682,0.1060454711950507,0.1039060574300481,-0.1039060574300481,-0.1060454711950507,0.3005621472203315,0.0451274187252228,-0.0451274187252228,-0.3005621472203315,0.167,0.109,0.058,0.108,0.068,0.04,0.108,0.068,0.04,0.167,0.109,0.058,2.769230769230769,3.254237288135593,3.1129032258064515,3.4,72.7,68.4,69.4,70.4
401762863,2025-11-19 00:00:00+00:00,2025,regular,13,False,Ohio,,Massachusetts,,,,,1585.0,735.0,469.99,488.73,-7.0,-0.0450199859173226,0.1801875803003925,-0.1801875803003925,0.0450199859173226,0.0556705035601088,0.1437100509956095,-0.1437100509956095,-0.0556705035601088,-0.1446557635809194,0.2329939911821885,-0.2329939911821885,0.1446557635809194,-0.0433597302365258,0.0881703287075542,-0.0881703287075542,0.0433597302365258,-0.0447001351372342,0.0954463957203011,-0.0954463957203011,0.0447001351372342,-0.0148814896964382,0.0265095119933829,-0.0265095119933829,0.0148814896964382,-0.1651102415531644,1.0764792170300654,-1.0764792170300654,0.1651102415531644,0.0442847467830536,0.5114065763841622,-0.5114065763841622,-0.0442847467830536,0.4939799834449545,0.2622104349050624,-0.2622104349050624,-0.4939799834449545,0.1502406783837631,0.1041848037426373,-0.1041848037426373,-0.1502406783837631,0.3782836178218454,-0.0198760792754588,0.0198760792754588,-0.3782836178218454,-0.1773714734362059,0.3093495910372332,-0.3093495910372332,0.1773714734362059,0.089,0.061,0.028,0.14,0.079,0.061,0.14,0.079,0.061,0.089,0.061,0.028,3.4153846153846152,2.0,2.6666666666666665,4.493150684931507,70.6,71.4,74.0,69.5
401762862,2025-11-19 00:00:00+00:00,2025,regular,13,False,Bowling Green,,Akron,,,,,1244.0,1087.0,527.31,537.21,0.0,-0.1629655759647256,0.0902048893466765,-0.0902048893466765,0.1629655759647256,-0.0852800980662974,0.0568653079740703,-0.0568653079740703,0.0852800980662974,-0.2339421958263609,0.126531152345507,-0.126531152345507,0.2339421958263609,-0.0557893904378619,0.0126443124029306,-0.0126443124029306,0.0557893904378619,-0.0617131973800343,0.0040004507550146,-0.0040004507550146,0.0617131973800343,-0.0119731800766283,0.0251665433012583,-0.0251665433012583,0.0119731800766283,-0.1302607134010402,-0.1047038861068578,0.1047038861068578,0.1302607134010402,-0.1513732350755513,-0.0307577701444357,0.0307577701444357,0.1513732350755513,-0.5988744736190241,0.477664197326491,-0.477664197326491,0.5988744736190241,-0.0922450178209204,0.143752068083786,-0.143752068083786,0.0922450178209204,-0.0423189430336499,0.3100882802922086,-0.3100882802922086,0.0423189430336499,-0.1733782740218632,0.0444774290602425,-0.0444774290602425,0.1733782740218632,0.174,0.113,0.061,0.176,0.117,0.059,0.176,0.117,0.059,0.174,0.113,0.061,3.0625,3.3088235294117645,3.5254237288135593,3.892307692307692,71.3,70.1,70.2,69.3
401762866,2025-11-20 00:00:00+00:00,2025,regular,13,False,Kent State,,Central Michigan,,,,,972.0,1293.0,456.24,481.16,5.0,-0.0401131153172397,0.0399261909865939,-0.0399261909865939,0.0401131153172397,-0.1554401045426985,0.1143264319354562,-0.1143264319354562,0.1554401045426985,0.1395745767129793,-0.2072556301247399,0.2072556301247399,-0.1395745767129793,-0.0735041606128649,0.0245185301534944,-0.0245185301534944,0.0735041606128649,-0.0540525887774464,0.0053047638859995,-0.0053047638859995,0.0540525887774464,-0.0761257035647279,0.0694073225573798,-0.0694073225573798,0.0761257035647279,-0.655795717710153,0.0978501101178905,-0.0978501101178905,0.655795717710153,-0.4675577946613578,0.1595219588029538,-0.1595219588029538,0.4675577946613578,-0.8842684760086135,0.089318564580904,-0.089318564580904,0.8842684760086135,0.2256876025397509,0.0766952521556552,-0.0766952521556552,-0.2256876025397509,-0.0239482699087307,0.0784935032525198,-0.0784935032525198,0.0239482699087307,0.4791001361666887,-0.1962915508542306,0.1962915508542306,-0.4791001361666887,0.158,0.085,0.073,0.145,0.095,0.05,0.145,0.095,0.05,0.158,0.085,0.073,3.3333333333333335,3.821428571428571,4.183098591549296,3.2727272727272725,71.0,69.1,70.8,70.9
401762865,2025-11-20 00:00:00+00:00,2025,regular,13,False,Buffalo,,Miami (OH),,,,,1318.0,1421.0,513.33,592.1,0.0,-0.042594706936145,-0.0181733685196603,0.0181733685196603,0.042594706936145,-0.1080832446059438,-0.0652540030577315,0.0652540030577315,0.1080832446059438,-0.0326239051431256,0.0156583088265955,-0.0156583088265955,0.0326239051431256,-0.0155714174522578,-0.0259743647509396,0.0259743647509396,0.0155714174522578,-0.005729855351204,-0.0307587149692413,0.0307587149692413,0.005729855351204,-0.0455151025400222,-0.0014791216293093,0.0014791216293093,0.0455151025400222,0.0946587265231331,-0.375965719063545,0.375965719063545,-0.0946587265231331,-0.0193820939583651,-0.2032023411371236,0.2032023411371236,0.0193820939583651,0.1565633430040209,-0.1562541806020067,0.1562541806020067,-0.1565633430040209,-0.0432757359936013,0.0418807567431158,-0.0418807567431158,0.0432757359936013,-0.0291583414468358,0.031897788048754,-0.031897788048754,0.0291583414468358,-0.0465692535076531,-0.0855747106733626,0.0855747106733626,0.0465692535076531,0.18,0.101,0.079,0.163,0.11,0.053,0.163,0.11,0.053,0.18,0.101,0.079,3.267857142857143,3.4363636363636365,2.7818181818181817,3.5106382978723403,70.1,73.1,68.5,74.3
401761655,2025-11-21 00:30:00+00:00,2025,regular,13,False,Arkansas State,,Louisiana,,,,,1306.0,1350.0,591.27,585.82,-0.5,-0.1417435553535221,0.0668642905635582,-0.0668642905635582,0.1417435553535221,-0.2391300185219814,-0.01741152826071,0.01741152826071,0.2391300185219814,-0.1036533892602347,0.1572882837412974,-0.1572882837412974,0.1036533892602347,-0.0490636734234415,0.052065265811747,-0.052065265811747,0.0490636734234415,-0.0586775872497312,0.0335462287104623,-0.0335462287104623,0.0586775872497312,0.008300395256917,0.0711498191509613,-0.0711498191509613,-0.008300395256917,-0.7434029498525074,-0.2563048552754434,0.2563048552754434,0.7434029498525074,-0.2114454277286136,0.0074929971988795,-0.0074929971988795,0.2114454277286136,-0.2918938053097344,-0.0146125116713351,0.0146125116713351,0.2918938053097344,-0.0295431668851269,0.0712853479842561,-0.0712853479842561,0.0295431668851269,-0.1725128371509094,0.049017392064777,-0.049017392064777,0.1725128371509094,-0.0676598317654002,-0.0968679009469342,0.0968679009469342,0.0676598317654002,0.122,0.083,0.039,0.141,0.09,0.051,0.141,0.09,0.051,0.122,0.083,0.039,3.1911764705882355,3.423728813559322,3.931034482758621,3.5396825396825395,70.5,72.9,73.3,69.7
401754598,2025-11-22 01:00:00+00:00,2025,regular,13,False,NC State,,Florida State,,,,,1449.0,1638.0,707.51,828.45,-4.0,0.1312706821154217,-0.0860112886365116,0.0860112886365116,-0.1312706821154217,0.0635967125037325,-0.17728299409519,0.17728299409519,-0.0635967125037325,0.1862356935448212,-0.0289677376134116,0.0289677376134116,-0.1862356935448212,0.0309192213971317,-0.0745733911496197,0.0745733911496197,-0.0309192213971317,0.0220765027322404,-0.0679392446633825,0.0679392446633825,-0.0220765027322404,0.0596318382162301,-0.0734877318001457,0.0734877318001457,-0.0596318382162301,-0.1155862068965518,-0.6486222616380379,0.6486222616380379,0.1155862068965518,0.2858128078817734,-0.3135191062982324,0.3135191062982324,-0.2858128078817734,1.257536945812808,-0.1886669156086631,0.1886669156086631,-1.257536945812808,0.2081045303196962,0.0782305053405447,-0.0782305053405447,-0.2081045303196962,0.261328422241337,0.0384824176624709,-0.0384824176624709,-0.261328422241337,0.0754780991818822,-0.1863426618184134,0.1863426618184134,-0.0754780991818822,0.167,0.116,0.051,0.135,0.08,0.055,0.135,0.08,0.055,0.167,0.116,0.051,4.596153846153846,4.228571428571429,3.971014492753623,3.8478260869565215,73.3,69.3,70.1,70.5
401760418,2025-11-22 03:30:00+00:00,2025,regular,13,False,UNLV,,Hawai'i,,,,,1604.0,1480.0,700.54,481.2,0.0,0.1623975978715442,0.0765996859840187,-0.0765996859840187,-0.1623975978715442,0.1790253629223235,0.2292728290181943,-0.2292728290181943,-0.1790253629223235,0.1558083011815636,0.0066298979758725,-0.0066298979758725,-0.1558083011815636,0.06703365463403,0.0339475624711648,-0.0339475624711648,-0.06703365463403,0.0505666157854141,0.0582714684357394,-0.0582714684357394,-0.0505666157854141,0.0833373581260564,-0.0208238775621357,0.0208238775621357,-0.0833373581260564,0.0417225337233868,0.2858294149157792,-0.2858294149157792,-0.0417225337233868,0.1342333008288641,0.3307303136718051,-0.3307303136718051,-0.1342333008288641,0.7288517796196978,1.066448425688947,-1.066448425688947,-0.7288517796196978,0.036047141141027,0.0625781016681121,-0.0625781016681121,-0.036047141141027,0.0894500393429902,0.252546799787995,-0.252546799787995,-0.0894500393429902,-0.043540283495272,0.038048652491937,-0.038048652491937,0.043540283495272,0.161,0.095,0.066,0.159,0.09,0.069,0.159,0.09,0.069,0.161,0.095,0.066,4.419354838709677,3.765625,3.907692307692307,3.3214285714285716,71.2,72.3,70.5,70.2
401752781,2025-11-22 17:00:00+00:00,2025,regular,13,False,Texas A&M,,Samford,,,,,1896.0,1500.0,917.29,,-4.5,0.1712429543889724,0.1605108293869558,0.1677076335195178,0.1629380507884544,0.1138355297909592,0.107462110749888,0.1107919078803266,0.108756696975177,0.2528836369917089,0.2406430917995325,0.2496353678960765,0.2434879513018182,0.4267684082446299,0.4202842060205794,0.4248643264818932,0.4219055584775438,0.4751745468735015,0.4703708392296605,0.4735335495813719,0.4714042712338365,0.3198301980094905,0.316582407456398,0.3190231312578933,0.3176047752581618,2.968937128879862,2.9482057122769536,2.959540117344966,2.951237388076944,1.094991571868598,1.0850394864813444,1.0900136662783018,1.0875354379496092,1.306961961280104,1.290876691553137,1.300782349703933,1.2915841096562115,1.2343041460919395,1.2340058396499067,1.2340468527762865,1.2339374743680174,0.9630219937064876,0.961919402643764,0.9620158574902206,0.962076249923268,1.5953363303470791,1.5931006301862627,1.594962437175384,1.5935746725300006,0.1720324743536471,0.1090964195115013,0.0629360548421457,0.1718748504053531,0.1089627564319536,0.0629120939733994,0.1720139941505021,0.1079189063602793,0.0640950877902227,0.1719008286688683,0.1078276570629167,0.0640731716059515,3.605098238050428,3.614447283289453,3.625834723040053,3.6037386847859247,70.10714601769912,70.86637168141593,70.11243362831857,70.86763274336282
401752909,2025-11-22 17:00:00+00:00,2025,regular,13,True,Northwestern,,Minnesota,,,,,1526.0,1496.0,677.97,711.04,5.0,-0.0265575312767337,0.0840784226662304,-0.0840784226662304,0.0265575312767337,0.046939102153114,0.192904947696159,-0.192904947696159,-0.046939102153114,-0.0669138901438109,0.0095964206888174,-0.0095964206888174,0.0669138901438109,-0.0081585970263057,0.0346406063702946,-0.0346406063702946,0.0081585970263057,-0.01895224610632,0.0069201631701631,-0.0069201631701631,0.01895224610632,0.0109545715928694,0.0815863709275955,-0.0815863709275955,-0.0109545715928694,0.2043019738936644,0.4330267558528429,-0.4330267558528429,-0.2043019738936644,-0.0465914517669532,0.2927814938684503,-0.2927814938684503,0.0465914517669532,0.2017470550780005,0.97226867335563,-0.97226867335563,-0.2017470550780005,-0.069400352390565,0.1304697194418687,-0.1304697194418687,0.069400352390565,-0.0242810930915816,0.2950904952760045,-0.2950904952760045,0.0242810930915816,0.0163617936290429,0.0660709574760198,-0.0660709574760198,-0.0163617936290429,0.179,0.135,0.044,0.139,0.076,0.063,0.139,0.076,0.063,0.179,0.135,0.044,2.962264150943396,3.795918367346939,3.2222222222222223,3.8679245283018866,72.2,71.8,71.2,72.8
