team,talent,season,rank
Georgia,1002.98,2025,0
Alabama,993.55,2025,0
Ohio State,973.69,2025,0
Texas,973.54,2025,0
Oregon,941.22,2025,0
LSU,920.05,2025,0
Clemson,918.43,2025,0
Texas A&M,917.29,2025,0
Notre Dame,912.11,2025,0
Penn State,910.42,2025,0
Michigan,907.22,2025,0
Florida,898.58,2025,0
Auburn,891.84,2025,0
Oklahoma,882.59,2025,0
Miami,874.57,2025,0
Tennessee,866.57,2025,0
USC,847.53,2025,0
South Carolina,833.26,2025,0
Florida State,828.45,2025,0
Nebraska,821.39,2025,0
Ole Miss,813.11,2025,0
Missouri,804.77,2025,0
Arkansas,772.64,2025,0
Mississippi State,770.48,2025,0
SMU,766.67,2025,0
UCLA,766.62,2025,0
Kentucky,763.18,2025,0
Wisconsin,763.17,2025,0
Texas Tech,757.49,2025,0
Colorado,755.2,2025,0
North Carolina,753.2,2025,0
TCU,745.01,2025,0
Arizona State,738.52,2025,0
Syracuse,727.83,2025,0
Baylor,726.3,2025,0
California,726.21,2025,0
Washington,720.56,2025,0
Michigan State,717.42,2025,0
Georgia Tech,715.56,2025,0
Virginia Tech,712.19,2025,0
Minnesota,711.04,2025,0
Iowa,710.0,2025,0
UCF,709.99,2025,0
Utah,707.86,2025,0
NC State,707.51,2025,0
Stanford,707.27,2025,0
Kansas State,705.85,2025,0
Kansas,705.32,2025,0
Oklahoma State,702.74,2025,0
Louisville,700.77,2025,0
UNLV,700.54,2025,0
Maryland,699.31,2025,0
Rutgers,689.22,2025,0
Purdue,687.74,2025,0
Vanderbilt,685.42,2025,0
Pittsburgh,681.21,2025,0
Northwestern,677.97,2025,0
Duke,669.18,2025,0
Memphis,668.63,2025,0
Oregon State,667.99,2025,0
South Florida,666.89,2025,0
Virginia,666.74,2025,0
West Virginia,662.33,2025,0
Illinois,662.13,2025,0
UTSA,662.09,2025,0
Houston,656.74,2025,0
Arizona,651.62,2025,0
Tulane,650.87,2025,0
Boston College,650.12,2025,0
BYU,649.36,2025,0
Iowa State,648.93,2025,0
Indiana,645.34,2025,0
Cincinnati,644.1,2025,0
Wake Forest,627.16,2025,0
Toledo,620.13,2025,0
Texas State,612.16,2025,0
Georgia State,611.97,2025,0
East Carolina,611.55,2025,0
App State,611.31,2025,0
Coastal Carolina,610.88,2025,0
Boise State,610.65,2025,0
Florida Atlantic,605.22,2025,0
Southern Miss,602.53,2025,0
Liberty,599.12,2025,0
Tulsa,594.78,2025,0
San Diego State,594.27,2025,0
Miami (OH),592.1,2025,0
Arkansas State,591.27,2025,0
Marshall,590.64,2025,0
Fresno State,586.84,2025,0
Louisiana,585.82,2025,0
Colorado State,583.71,2025,0
Georgia Southern,574.48,2025,0
Eastern Michigan,572.9,2025,0
Washington State,569.46,2025,0
North Texas,569.15,2025,0
UConn,568.12,2025,0
Florida International,562.61,2025,0
Troy,561.87,2025,0
Western Kentucky,561.36,2025,0
UTEP,551.88,2025,0
South Alabama,544.87,2025,0
UAB,540.93,2025,0
Akron,537.21,2025,0
Western Michigan,534.35,2025,0
Rice,530.06,2025,0
Bowling Green,527.31,2025,0
Charlotte,526.3,2025,0
San José State,522.91,2025,0
Middle Tennessee,520.55,2025,0
Jacksonville State,519.93,2025,0
Buffalo,513.33,2025,0
Temple,507.91,2025,0
Utah State,503.59,2025,0
Ball State,495.35,2025,0
Louisiana Tech,493.5,2025,0
Wyoming,489.33,2025,0
Massachusetts,488.73,2025,0
Nevada,488.69,2025,0
Hawai'i,481.2,2025,0
Central Michigan,481.16,2025,0
Old Dominion,477.45,2025,0
Sam Houston,477.35,2025,0
UL Monroe,473.34,2025,0
Northern Illinois,471.01,2025,0
Ohio,469.99,2025,0
James Madison,459.53,2025,0
Kent State,456.24,2025,0
Missouri State,426.1,2025,0
New Mexico State,402.9,2025,0
New Mexico,378.8,2025,0
Kennesaw State,338.87,2025,0
Delaware,242.85,2025,0
Army,23.66,2025,0
