team,season,week,rating,games_played,hfa,solver_version,last_updated,ratings_sum
Ohio State,2025,15,51.33546754253328,93,2.689284540285286,1.0.0,2025-12-17T03:46:45.696266+00:00,-6.821210263296962e-13
Alabama,2025,15,50.80009528337353,84,2.689284540285286,1.0.0,2025-12-17T03:46:45.696266+00:00,-6.821210263296962e-13
Georgia,2025,15,48.40733587238763,95,2.689284540285286,1.0.0,2025-12-17T03:46:45.696266+00:00,-6.821210263296962e-13
Michigan,2025,15,45.6809879092141,88,2.689284540285286,1.0.0,2025-12-17T03:46:45.696266+00:00,-6.821210263296962e-13
Notre Dame,2025,15,43.573541809906786,83,2.689284540285286,1.0.0,2025-12-17T03:46:45.696266+00:00,-6.821210263296962e-13
Penn State,2025,15,43.2888885692052,90,2.689284540285286,1.0.0,2025-12-17T03:46:45.696266+00:00,-6.821210263296962e-13
Clemson,2025,15,42.95958941566571,89,2.689284540285286,1.0.0,2025-12-17T03:46:45.696266+00:00,-6.821210263296962e-13
LSU,2025,15,41.79851241154033,83,2.689284540285286,1.0.0,2025-12-17T03:46:45.696266+00:00,-6.821210263296962e-13
Oklahoma,2025,15,40.04457548304103,86,2.689284540285286,1.0.0,2025-12-17T03:46:45.696266+00:00,-6.821210263296962e-13
Oregon,2025,15,38.53654394014979,88,2.689284540285286,1.0.0,2025-12-17T03:46:45.696266+00:00,-6.821210263296962e-13
Texas,2025,15,38.162844719844664,87,2.689284540285286,1.0.0,2025-12-17T03:46:45.696266+00:00,-6.821210263296962e-13
Utah,2025,15,37.39424094695132,86,2.689284540285286,1.0.0,2025-12-17T03:46:45.696266+00:00,-6.821210263296962e-13
Washington,2025,15,37.229157197161314,88,2.689284540285286,1.0.0,2025-12-17T03:46:45.696266+00:00,-6.821210263296962e-13
Auburn,2025,15,36.97929391765873,80,2.689284540285286,1.0.0,2025-12-17T03:46:45.696266+00:00,-6.821210263296962e-13
Texas A&M,2025,15,36.7718741400381,79,2.689284540285286,1.0.0,2025-12-17T03:46:45.696266+00:00,-6.821210263296962e-13
Tennessee,2025,15,35.801361154246344,80,2.689284540285286,1.0.0,2025-12-17T03:46:45.696266+00:00,-6.821210263296962e-13
Iowa,2025,15,35.630233711493005,86,2.689284540285286,1.0.0,2025-12-17T03:46:45.696266+00:00,-6.821210263296962e-13
Wisconsin,2025,15,35.26621434858315,90,2.689284540285286,1.0.0,2025-12-17T03:46:45.696266+00:00,-6.821210263296962e-13
Kansas State,2025,15,35.09124740045083,86,2.689284540285286,1.0.0,2025-12-17T03:46:45.696266+00:00,-6.821210263296962e-13
Florida,2025,15,34.077574242981676,78,2.689284540285286,1.0.0,2025-12-17T03:46:45.696266+00:00,-6.821210263296962e-13
Iowa State,2025,15,33.94134109846992,86,2.689284540285286,1.0.0,2025-12-17T03:46:45.696266+00:00,-6.821210263296962e-13
USC,2025,15,33.92716516650456,84,2.689284540285286,1.0.0,2025-12-17T03:46:45.696266+00:00,-6.821210263296962e-13
Ole Miss,2025,15,33.8859457087507,81,2.689284540285286,1.0.0,2025-12-17T03:46:45.696266+00:00,-6.821210263296962e-13
Missouri,2025,15,33.3016039160824,80,2.689284540285286,1.0.0,2025-12-17T03:46:45.696266+00:00,-6.821210263296962e-13
Texas Tech,2025,15,31.814953439152948,85,2.689284540285286,1.0.0,2025-12-17T03:46:45.696266+00:00,-6.821210263296962e-13
TCU,2025,15,31.36192240970462,84,2.689284540285286,1.0.0,2025-12-17T03:46:45.696266+00:00,-6.821210263296962e-13
Boise State,2025,15,31.070870486572836,93,2.689284540285286,1.0.0,2025-12-17T03:46:45.696266+00:00,-6.821210263296962e-13
Indiana,2025,15,31.035919528278786,81,2.689284540285286,1.0.0,2025-12-17T03:46:45.696266+00:00,-6.821210263296962e-13
Miami,2025,15,30.877089363464854,84,2.689284540285286,1.0.0,2025-12-17T03:46:45.696266+00:00,-6.821210263296962e-13
Florida State,2025,15,30.679750403454943,80,2.689284540285286,1.0.0,2025-12-17T03:46:45.696266+00:00,-6.821210263296962e-13
Minnesota,2025,15,30.513863014637256,86,2.689284540285286,1.0.0,2025-12-17T03:46:45.696266+00:00,-6.821210263296962e-13
