Team,2025 conference,Record,SP+,Rk,,
Ohio State,Big Ten,10-0,81.5,1,,P4
Indiana,Big Ten,11-0,80.1,2,,G5
Texas Tech,Big 12,10-1,78.9,3,,FCS
Oregon,Big Ten,9-1,76.7,4,,D2
Notre Dame,Indies (FBS),8-2,72.6,5,,NAIA
Georgia,SEC,9-1,72.5,6,,D3
Ole Miss,SEC,10-1,71.9,7,,Non
Utah,Big 12,8-2,71.6,8,,
Texas A&M,SEC,10-0,71.4,9,,
Miami-FL,ACC,8-2,70.0,10,,
Alabama,SEC,8-2,70.0,11,,
Oklahoma,SEC,8-2,69.3,12,,
USC,Big Ten,8-2,68.6,13,,
Tennessee,SEC,7-3,67.4,14,,
Iowa,Big Ten,6-4,66.4,15,,
Missouri,SEC,7-3,66.4,16,,
BYU,Big 12,9-1,66.2,17,,
Vanderbilt,SEC,8-2,66.2,18,,
Penn State,Big Ten,4-6,65.9,19,,
Washington,Big Ten,7-3,65.8,20,,
Texas,SEC,7-3,65.8,21,,
Michigan,Big Ten,8-2,64.7,22,,
Illinois,Big Ten,7-3,64.0,23,,
North Texas,AAC,9-1,62.5,24,,
James Madison,Sun Belt,9-1,62.5,25,,
SMU,ACC,7-3,62.3,26,,
Louisville,ACC,7-3,62.2,27,,
Florida State,ACC,5-5,61.7,28,,
Memphis,AAC,8-3,61.5,29,,
Nebraska,Big Ten,7-3,61.4,30,,
LSU,SEC,6-4,61.3,31,,
Auburn,SEC,4-6,60.9,32,,
Arizona,Big 12,7-3,60.8,33,,
Virginia,ACC,9-2,60.7,34,,
Pittsburgh,ACC,7-3,60.5,35,,
Georgia Tech,ACC,9-1,60.0,36,,
Cincinnati,Big 12,7-3,59.5,37,,
USF,AAC,7-3,59.3,38,,
Clemson,ACC,5-5,59.0,39,,
Arkansas,SEC,2-8,58.5,40,,
Iowa State,Big 12,6-4,58.4,41,,
East Carolina,AAC,7-3,57.6,42,,
Kentucky,SEC,5-5,57.4,43,,
Houston,Big 12,8-2,57.3,44,,
Kansas State,Big 12,5-5,57.1,45,,
TCU,Big 12,6-4,56.9,46,,
Connecticut,Indies (FBS),8-3,56.9,47,,
North Dakota State,MVFC,11-0,56.8,48,,
Toledo,MAC,6-4,56.3,49,,
Kansas,Big 12,5-5,56.2,50,,
Florida,SEC,3-7,55.5,51,,
Arizona State,Big 12,7-3,55.4,52,,
Mississippi State,SEC,5-6,55.2,53,,
San Diego State,MWC,8-2,54.9,54,,
South Carolina,SEC,3-7,54.7,55,,
Baylor,Big 12,5-5,54.2,56,,
Boise State,MWC,6-4,54.1,57,,
Duke,ACC,5-5,54.0,58,,
Tulane,AAC,8-2,54.0,59,,
Old Dominion,Sun Belt,7-3,53.0,60,,
Maryland,Big Ten,4-6,52.8,61,,
Rutgers,Big Ten,5-5,52.5,62,,
Navy,AAC,8-2,52.4,63,,
Wake Forest,ACC,7-3,52.4,64,,
UNLV,MWC,8-2,52.3,65,,
Minnesota,Big Ten,6-4,51.9,66,,
Northwestern,Big Ten,5-5,51.1,67,,
UCF,Big 12,4-6,51.0,68,,
NC State,ACC,5-5,50.7,69,,
Washington State,Pac-12,5-5,50.5,70,,
Western Kentucky,CUSA,8-2,50.5,71,,
Hawaii,MWC,7-3,50.0,72,,
UTSA,AAC,5-5,49.7,73,,
Fresno State,MWC,7-3,49.6,74,,
Tarleton State,UAC,10-1,49.1,75,,
Army,AAC,5-4,48.5,76,,
California,ACC,6-4,48.2,77,,
Harvard,Ivy League,9-0,47.9,78,,
Louisiana Tech,CUSA,5-5,47.2,79,,
New Mexico,MWC,7-3,46.9,80,,
Lehigh,Patriot,11-0,46.8,81,,
Colorado,Big 12,3-7,46.6,82,,
Utah State,MWC,5-5,46.5,83,,
Texas State,Sun Belt,4-6,46.4,84,,
Montana State,Big Sky,9-2,46.3,85,,
Michigan State,Big Ten,3-7,46.2,86,,
Temple,AAC,5-5,45.9,87,,
Marshall,Sun Belt,5-5,45.5,88,,
Kennesaw State,CUSA,7-3,45.5,89,,
UCLA,Big Ten,3-7,45.5,90,,
Southern Miss,Sun Belt,7-3,45.4,91,,
Air Force,MWC,3-7,45.1,92,,
West Virginia,Big 12,4-7,45.0,93,,
North Carolina,ACC,4-6,45.0,94,,
Wisconsin,Big Ten,3-7,44.9,95,,
Ohio,MAC,6-4,44.8,96,,
Troy,Sun Belt,6-4,44.5,97,,
Montana,Big Sky,11-0,44.4,98,,
Jacksonville State,CUSA,7-3,44.4,99,,
Miami-OH,MAC,5-5,44.3,100,,
Virginia Tech,ACC,3-7,44.3,101,,
Purdue,Big Ten,2-9,43.8,102,,
Western Michigan,MAC,6-4,43.7,103,,
Buffalo,MAC,5-5,43.4,104,,
Central Michigan,MAC,6-4,43.0,105,,
North Dakota,MVFC,7-4,42.9,106,,
Liberty,CUSA,4-6,42.6,107,,
Tennessee Tech,BSC-OVC,10-1,42.2,108,,
Stephen F. Austin,Southland,9-2,42.1,109,,
Mercer,Southern,9-1,42.1,110,,
Syracuse,ACC,3-7,41.7,111,,
Coastal Carolina,Sun Belt,6-4,41.5,112,,
Wyoming,MWC,4-6,41.4,113,,
UL-Lafayette,Sun Belt,4-6,41.3,114,,
Florida Atlantic,AAC,4-6,41.2,115,,
Missouri State,CUSA,7-3,41.1,116,,
Georgia Southern,Sun Belt,5-5,40.9,117,,
Arkansas State,Sun Belt,5-5,40.4,118,,
San Jose State,MWC,3-7,40.1,119,,
