date,bowl,team_a,team_b,away_team,home_team,neutral_site,favorite,dk_spread,dk_total,adv_stats_coverage,model_home_margin,model_home_winprob,model_margin_fav,model_winprob_fav,fastai_winprob_fav,ensemble_winprob_fav,edge_vs_spread,pick_against_spread,massey_margin_fav,massey_edge_vs_spread,rf_total,rf_margin_fav,sp_plus_diff,fpi_diff,elo_diff,srs_diff,away_norm,home_norm,your_home_spread,dk_home_spread,lineopen,line,road,home,linehow,linedokter,linebihl,linemidweek,linekeep,linecong,linebillings,lineharville,linebig200,linepiratings,linepimean,linepibias,linefei,linerwp,linemassey,lineclean,linecraig,linedonchess,linefluker,linesag,linesagpred,linesaggm,linesagr,lineversus,linedwig,linefpi,linetalis,linecfp,linepig,linefidler,neutral,linekerns,linel2,linepfz,linemoore,lineelo,lineborn,linelaz,linekam,linel2hf,linepayne,linepaynep,linepaynewl,lineteamrank,linelog,linecons,lineloud,linecurry,linedunk,linewayward,linedoi,lineargh,lineround,lineavg,linestd,linemedian,phcover,phwin,lineca,lineopen_road_aligned,lineopen_home_spread,line_road_aligned,line_home_spread,linehow_road_aligned,linehow_home_spread,linedokter_road_aligned,linedokter_home_spread,linebihl_road_aligned,linebihl_home_spread,linemidweek_road_aligned,linemidweek_home_spread,linekeep_road_aligned,linekeep_home_spread,linecong_road_aligned,linecong_home_spread,linebillings_road_aligned,linebillings_home_spread,lineharville_road_aligned,lineharville_home_spread,linebig200_road_aligned,linebig200_home_spread,linepiratings_road_aligned,linepiratings_home_spread,linepimean_road_aligned,linepimean_home_spread,linepibias_road_aligned,linepibias_home_spread,linefei_road_aligned,linefei_home_spread,linerwp_road_aligned,linerwp_home_spread,linemassey_road_aligned,linemassey_home_spread,lineclean_road_aligned,lineclean_home_spread,linecraig_road_aligned,linecraig_home_spread,linedonchess_road_aligned,linedonchess_home_spread,linefluker_road_aligned,linefluker_home_spread,linesag_road_aligned,linesag_home_spread,linesagpred_road_aligned,linesagpred_home_spread,linesaggm_road_aligned,linesaggm_home_spread,linesagr_road_aligned,linesagr_home_spread,lineversus_road_aligned,lineversus_home_spread,linedwig_road_aligned,linedwig_home_spread,linefpi_road_aligned,linefpi_home_spread,linetalis_road_aligned,linetalis_home_spread,linecfp_road_aligned,linecfp_home_spread,linepig_road_aligned,linepig_home_spread,linefidler_road_aligned,linefidler_home_spread,linekerns_road_aligned,linekerns_home_spread,linel2_road_aligned,linel2_home_spread,linepfz_road_aligned,linepfz_home_spread,linemoore_road_aligned,linemoore_home_spread,lineelo_road_aligned,lineelo_home_spread,lineborn_road_aligned,lineborn_home_spread,linelaz_road_aligned,linelaz_home_spread,linekam_road_aligned,linekam_home_spread,linel2hf_road_aligned,linel2hf_home_spread,linepayne_road_aligned,linepayne_home_spread,linepaynep_road_aligned,linepaynep_home_spread,linepaynewl_road_aligned,linepaynewl_home_spread,lineteamrank_road_aligned,lineteamrank_home_spread,linelog_road_aligned,linelog_home_spread,linecons_road_aligned,linecons_home_spread,lineloud_road_aligned,lineloud_home_spread,linecurry_road_aligned,linecurry_home_spread,linedunk_road_aligned,linedunk_home_spread,linewayward_road_aligned,linewayward_home_spread,linedoi_road_aligned,linedoi_home_spread,lineargh_road_aligned,lineargh_home_spread,lineround_road_aligned,lineround_home_spread,lineavg_road_aligned,lineavg_home_spread,linemedian_road_aligned,linemedian_home_spread,lineca_road_aligned,lineca_home_spread,edge_vs_dk,abs_edge_vs_dk,open_home_spread,current_home_spread,consensus_mean_home,consensus_median_home,consensus_std,move_from_open,z_vs_consensus,sign_conflict,flag_high_dispersion,flag_outlier,flag_big_move,robust_edge,agreement_rate,disagree_sources,clv_direction,your_vs_median,your_vs_linesag,your_vs_linemassey,your_vs_lineelo,your_vs_linefei,your_vs_linefpi,tier,tier_reasons,flags,total_pick,total_edge
2025-12-17,68 Ventures Bowl,Louisiana,Delaware,Louisiana,Delaware,True,Louisiana,-3.0,61.5,1.0,2.48,0.4659,-2.48,0.5341,,0.5341,-5.48,Delaware,7.79,4.79,,4.84,4.0,6.51,88.0,5.1,louisiana,delaware,-2.48,3.0,-3.5,-3.0,Louisiana-Lafayette,Delaware,-2.0,-3.0,-1.67,-3.0,-3.14,-4.69,-4.728,-3.2,0.25,-6.6,-6.3,-6.5,-3.0,-1.58,-8.16,-8.0,,-3.3,,-6.37,-6.42,-5.18,-8.36,-1.51,-4.0,,-2.12,,,-6.67,1.0,4.475,-1.554278562,1.14,-1.28,-3.709334409,,-0.032,-6.6798,10.029624135,,,,-3.4,-0.05179347,-3.2025,-1.0,-10.84,-12.774,-5.63,1.5,,,-4.006348999,3.4595836762,-3.4,0.4824999466,0.4029729274,-3.0,-3.5,3.5,-3.0,3.0,-2.0,2.0,-3.0,3.0,-1.67,1.67,-3.0,3.0,-3.14,3.14,-4.69,4.69,-4.728,4.728,-3.2,3.2,0.25,-0.25,-6.6,6.6,-6.3,6.3,-6.5,6.5,-3.0,3.0,-1.58,1.58,-8.16,8.16,-8.0,8.0,,,-3.3,3.3,,,-6.37,6.37,-6.42,6.42,-5.18,5.18,-8.36,8.36,-1.51,1.51,-4.0,4.0,,,-2.12,2.12,,,,,-6.67,6.67,4.475,-4.475,-1.554278562,1.554278562,1.14,-1.14,-1.28,1.28,-3.709334409,3.709334409,,,-0.032,0.032,-6.6798,6.6798,10.029624135,-10.029624135,,,,,,,-3.4,3.4,-0.05179347,0.05179347,-3.2025,3.2025,-1.0,1.0,-10.84,10.84,-12.774,12.774,-5.63,5.63,1.5,-1.5,,,,,-4.006348999,4.006348999,-3.4,3.4,-3.0,3.0,-5.48,5.48,3.5,3.0,4.006348999,3.4,3.4595836762,-0.5,-1.87489293686476,False,False,False,False,1.5840056240579856,0.0,"linesag_home_spread, linemassey_home_spread, lineelo_home_spread",TOWARD_YOU,-5.88,-8.85,-10.64,-6.189334409000001,-5.48,,X-REVIEW,AGREE=0.00,,,
2025-12-17,Cure Bowl,Old Dominion,South Florida,Old Dominion,South Florida,True,South Florida,-2.5,52.5,1.0,3.4,0.5635,3.4,0.5635,,0.5635,0.9,South Florida,7.44,4.94,,0.81,6.2,7.15,116.0,10.2,olddominion,usf,-3.4,-2.5,7.5,3.0,Old Dominion,South Florida,3.5,7.13,9.55,3.0,15.09,13.01,6.023,5.78,5.297,5.5,6.1,5.7,10.2,4.86,7.5,4.0,,3.6,,9.2,8.65,8.7,11.23,12.88,,,12.23,,,9.54,1.0,15.125,12.423001355,7.88,11.1,9.202252534,,0.081,3.0515,18.964489223,,,,9.4,1.8199204764,9.45,6.0,7.28,12.149,7.1,15.5,,,8.4725487191,3.6903636944,8.675,0.5941556778,0.6977400841,4.0,7.5,-7.5,3.0,-3.0,3.5,-3.5,7.13,-7.13,9.55,-9.55,3.0,-3.0,15.09,-15.09,13.01,-13.01,6.023,-6.023,5.78,-5.78,5.297,-5.297,5.5,-5.5,6.1,-6.1,5.7,-5.7,10.2,-10.2,4.86,-4.86,7.5,-7.5,4.0,-4.0,,,3.6,-3.6,,,9.2,-9.2,8.65,-8.65,8.7,-8.7,11.23,-11.23,12.88,-12.88,,,,,12.23,-12.23,,,,,9.54,-9.54,15.125,-15.125,12.423001355,-12.423001355,7.88,-7.88,11.1,-11.1,9.202252534,-9.202252534,,,0.081,-0.081,3.0515,-3.0515,18.964489223,-18.964489223,,,,,,,9.4,-9.4,1.8199204764,-1.8199204764,9.45,-9.45,6.0,-6.0,7.28,-7.28,12.149,-12.149,7.1,-7.1,15.5,-15.5,,,,,8.4725487191,-8.4725487191,8.675,-8.675,4.0,-4.0,-0.8999999999999999,0.8999999999999999,-7.5,-3.0,-8.4725487191,-8.675,3.6903636944,4.5,1.3745389720794778,False,False,False,True,0.24387840184037118,1.0,,TOWARD_YOU,5.275,5.799999999999999,4.1,5.802252533999999,6.799999999999999,,X-REVIEW,BIG_MOVE=4.50|AGREE=1.00,BIG_MOVE,,
2025-12-18,Xbox Bowl,Missouri State,Arkansas State,Missouri State,Arkansas State,True,Arkansas State,-1.5,54.5,1.0,2.34,0.5764,2.34,0.5764,,0.5764,0.84,Arkansas State,1.55,0.05,,1.57,-2.1,0.45,-64.0,-4.3,missouristate,arkansasstate,-2.34,-1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.8399999999999999,0.8399999999999999,,,,,,,,False,False,False,False,,,,,,,,,,,C,,,,
2025-12-19,CFP First Round,Alabama,Oklahoma,Alabama,Oklahoma,False,Alabama,-1.5,40.5,1.0,3.14,0.7906,-3.14,0.2094,,0.2094,-4.64,Oklahoma,13.44,11.94,,-0.66,1.5,4.47,142.0,1.6,alabama,oklahoma,-3.14,1.5,-2.0,-1.0,Alabama,Oklahoma,4.5,1.72,2.17,-1.0,,0.38,6.558,-1.32,2.812,1.4,1.3,1.5,0.2,3.32,-2.49,-5.0,,0.2,,1.14,0.07,0.62,2.45,1.68,2.0,,2.93,,,1.77,0.0,1.075,1.801426074,3.32,2.99,4.289692199,,3.015,1.5727,5.286933874,,,,-1.5,0.8414395072,4.9,,8.49,5.466,1.56,1.5,,,1.8997171742,2.4637995166,1.7,0.5505901163,0.5468867496,0.0,-2.0,2.0,-1.0,1.0,4.5,-4.5,1.72,-1.72,2.17,-2.17,-1.0,1.0,,,0.38,-0.38,6.558,-6.558,-1.32,1.32,2.812,-2.812,1.4,-1.4,1.3,-1.3,1.5,-1.5,0.2,-0.2,3.32,-3.32,-2.49,2.49,-5.0,5.0,,,0.2,-0.2,,,1.14,-1.14,0.07,-0.07,0.62,-0.62,2.45,-2.45,1.68,-1.68,2.0,-2.0,,,2.93,-2.93,,,,,1.77,-1.77,1.075,-1.075,1.801426074,-1.801426074,3.32,-3.32,2.99,-2.99,4.289692199,-4.289692199,,,3.015,-3.015,1.5727,-1.5727,5.286933874,-5.286933874,,,,,,,-1.5,1.5,0.8414395072,-0.8414395072,4.9,-4.9,,,8.49,-8.49,5.466,-5.466,1.56,-1.56,1.5,-1.5,,,,,1.8997171742,-1.8997171742,1.7,-1.7,0.0,-0.0,-4.640000000000001,4.640000000000001,2.0,1.0,-1.8997171742,-1.7,2.4637995166,-1.0,-0.5034024957970479,False,False,False,False,1.883270115420397,0.75,linemassey_home_spread,TOWARD_YOU,-1.4400000000000002,-2.0,-5.630000000000001,1.149692199,-2.94,,A,AGREE=0.75,,,
2025-12-19,Gasparilla Bowl,Memphis,NC State,Memphis,NC State,True,NC State,-4.5,58.5,1.0,2.87,0.6267,2.87,0.6267,,0.6267,-1.63,Memphis,-2.19,-6.69,,6.41,-10.6,-3.88,-179.0,-2.0,memphis,ncstate,-2.87,-4.5,5.5,4.5,Memphis,NC St.,-1.5,3.56,1.71,4.5,1.74,2.78,0.143,4.38,8.757,-1.4,5.6,6.2,1.7,1.32,-0.02,-9.5,,3.3,,6.02,5.57,6.36,6.8,3.09,4.0,,1.3,,,1.19,1.0,-6.925,1.237936193,-4.48,2.91,4.278950925,,0.155,-0.2916,7.144250448,,,,2.8,0.6041588304,2.8,,8.29,8.683,1.86,4.0,,,2.3896834356,3.9052922016,2.8,0.4634558406,0.5578946629,4.5,5.5,-5.5,4.5,-4.5,-1.5,1.5,3.56,-3.56,1.71,-1.71,4.5,-4.5,1.74,-1.74,2.78,-2.78,0.143,-0.143,4.38,-4.38,8.757,-8.757,-1.4,1.4,5.6,-5.6,6.2,-6.2,1.7,-1.7,1.32,-1.32,-0.02,0.02,-9.5,9.5,,,3.3,-3.3,,,6.02,-6.02,5.57,-5.57,6.36,-6.36,6.8,-6.8,3.09,-3.09,4.0,-4.0,,,1.3,-1.3,,,,,1.19,-1.19,-6.925,6.925,1.237936193,-1.237936193,-4.48,4.48,2.91,-2.91,4.278950925,-4.278950925,,,0.155,-0.155,-0.2916,0.2916,7.144250448,-7.144250448,,,,,,,2.8,-2.8,0.6041588304,-0.6041588304,2.8,-2.8,,,8.29,-8.29,8.683,-8.683,1.86,-1.86,4.0,-4.0,,,,,2.3896834356,-2.3896834356,2.8,-2.8,4.5,-4.5,1.63,1.63,-5.5,-4.5,-2.3896834356,-2.8,3.9052922016,1.0,-0.12299119748407414,False,False,False,False,0.4173823406433424,0.75,linesag_home_spread,TOWARD_YOU,-0.07000000000000028,3.1499999999999995,-2.89,1.408950925,-1.1700000000000002,,C,AGREE=0.75,,,
2025-12-19,Myrtle Beach Bowl,Kennesaw State,Western Michigan,Kennesaw State,Western Michigan,True,Western Michigan,-3.5,48.5,1.0,2.69,0.8405,2.69,0.8405,,0.8405,-0.81,Kennesaw State,4.99,1.49,,0.73,-1.7,1.74,22.0,1.1,kennesawstate,westernmichigan,-2.69,-3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.81,0.81,,,,,,,,False,False,False,False,,,,,,,,,,,C,,,,
2025-12-20,CFP First Round,Miami,Texas A&M,Miami,Texas A&M,False,Texas A&M,-3.5,50.5,1.0,3.22,0.7746,3.22,0.7746,,0.7746,-0.28,Miami,8.58,5.08,,1.54,2.4,0.6,-11.0,0.3,miami,texasaandm,-3.22,-3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2799999999999998,0.2799999999999998,,,,,,,,False,False,False,False,,,,,,,,,,,C,,,,
2025-12-20,CFP First Round,Tulane,Ole Miss,Tulane,Ole Miss,False,Ole Miss,-17.5,56.5,1.0,3.12,0.7659,3.12,0.7659,,0.7659,-14.38,Tulane,12.3,-5.2,,1.14,16.1,14.53,384.0,11.7,tulane,olemiss,-3.12,-17.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.379999999999999,14.379999999999999,,,,,,,,False,False,False,False,,,,,,,,,,,A,,,,
2025-12-20,CFP First Round,James Madison,Oregon,James Madison,Oregon,False,Oregon,-21.0,47.5,1.0,3.63,0.5173,3.63,0.5173,,0.5173,-17.37,James Madison,11.61,-9.39,,-2.3,14.1,16.42,212.0,14.0,jamesmadison,oregon,-3.63,-21.0,21.0,21.5,James Madison,Oregon,10.5,21.52,16.55,21.5,,19.99,15.453,23.11,23.729,25.4,22.9,23.9,25.6,12.25,24.66,7.5,,23.0,,18.39,17.06,19.19,20.82,24.7,20.0,,20.16,,,16.57,0.0,25.675,21.805690421,13.04,8.96,16.306133845,,3.198,21.0719,21.447654072,,,,21.0,13.108780714,9.1,,20.35,19.591,15.28,22.0,,,18.620270119,5.6240944186,20.08,0.4509415838,0.8647151856,21.5,21.0,-21.0,21.5,-21.5,10.5,-10.5,21.52,-21.52,16.55,-16.55,21.5,-21.5,,,19.99,-19.99,15.453,-15.453,23.11,-23.11,23.729,-23.729,25.4,-25.4,22.9,-22.9,23.9,-23.9,25.6,-25.6,12.25,-12.25,24.66,-24.66,7.5,-7.5,,,23.0,-23.0,,,18.39,-18.39,17.06,-17.06,19.19,-19.19,20.82,-20.82,24.7,-24.7,20.0,-20.0,,,20.16,-20.16,,,,,16.57,-16.57,25.675,-25.675,21.805690421,-21.805690421,13.04,-13.04,8.96,-8.96,16.306133845,-16.306133845,,,3.198,-3.198,21.0719,-21.0719,21.447654072,-21.447654072,,,,,,,21.0,-21.0,13.108780714,-13.108780714,9.1,-9.1,,,20.35,-20.35,19.591,-19.591,15.28,-15.28,22.0,-22.0,,,,,18.620270119,-18.620270119,20.08,-20.08,21.5,-21.5,17.37,17.37,-21.0,-21.5,-18.620270119,-20.08,5.6240944186,-0.5,2.6653660133130397,False,True,True,False,3.088497224113797,0.5,"linemassey_home_spread, linefei_home_spread",AWAY_FROM_YOU,16.45,14.760000000000002,21.03,12.676133845000003,21.970000000000002,,X-REVIEW,OUTLIER_Z=2.67|HIGH_STD=5.62|AGREE=0.50,OUTLIER|HIGH_STD,,
2025-12-22,Potato Bowl,Washington State,Utah State,Washington State,Utah State,True,Utah State,-2.5,50.5,1.0,2.71,0.5126,2.71,0.5126,,0.5126,0.21,Utah State,-7.68,-10.18,,1.49,-1.5,-1.93,-53.0,-5.3,washingtonstate,utahstate,-2.71,-2.5,-1.0,2.5,Washington St.,Utah St.,-2.5,,-4.91,2.5,-5.17,-5.69,-3.126,-6.77,-5.45,,,,,-5.22,-7.56,-7.5,,1.7,,-5.77,-5.46,-5.6,-7.06,-4.22,-6.0,,-4.43,,,6.99,1.0,-9.075,-5.071414217,-1.31,-2.22,-4.743666999,,-0.068,-7.4671,10.742917178,,,,-4.0,-0.028659721,-4.2,,-4.1,-3.777,-5.62,-1.0,,,-4.262443163,3.078586082,-4.990707109,0.3837807544,0.3964313252,1.0,-1.0,1.0,2.5,-2.5,-2.5,2.5,,,-4.91,4.91,2.5,-2.5,-5.17,5.17,-5.69,5.69,-3.126,3.126,-6.77,6.77,-5.45,5.45,,,,,,,,,-5.22,5.22,-7.56,7.56,-7.5,7.5,,,1.7,-1.7,,,-5.77,5.77,-5.46,5.46,-5.6,5.6,-7.06,7.06,-4.22,4.22,-6.0,6.0,,,-4.43,4.43,,,,,6.99,-6.99,-9.075,9.075,-5.071414217,5.071414217,-1.31,1.31,-2.22,2.22,-4.743666999,4.743666999,,,-0.068,0.068,-7.4671,7.4671,10.742917178,-10.742917178,,,,,,,-4.0,4.0,-0.028659721,0.028659721,-4.2,4.2,,,-4.1,4.1,-3.777,3.777,-5.62,5.62,-1.0,1.0,,,,,-4.262443163,4.262443163,-4.990707109,4.990707109,1.0,-1.0,-0.20999999999999996,0.20999999999999996,1.0,-2.5,4.262443163,4.990707109,3.078586082,-3.5,-2.264819945677907,True,False,True,True,0.06821313239471728,0.0,"linesag_home_spread, linemassey_home_spread, lineelo_home_spread",TOWARD_YOU,-7.700707109,-8.48,-10.27,-7.453666999,,,X-REVIEW,SIGN_CONFLICT|OUTLIER_Z=-2.26|BIG_MOVE=-3.50|AGREE=0.00,OUTLIER|BIG_MOVE|SIGN_CONFLICT,,
