id,season,week,home_team,away_team,season_type
400869527,2016,5,Houston,UConn,regular
400869598,2016,5,Texas Tech,Kansas,regular
400869124,2016,5,Washington,Stanford,regular
400868926,2016,5,BYU,Toledo,regular
400868879,2016,5,Iowa State,Baylor,regular
400869011,2016,5,Arkansas,Alcorn State,regular
400869635,2016,5,Ohio State,Rutgers,regular
400869017,2016,5,Vanderbilt,Florida,regular
400869818,2016,5,App State,Georgia State,regular
400869530,2016,5,Temple,SMU,regular
400869721,2016,5,Georgia Tech,Miami,regular
400869528,2016,5,East Carolina,UCF,regular
400868950,2016,5,Syracuse,Notre Dame,regular
400869662,2016,5,Iowa,Northwestern,regular
400869620,2016,5,Oklahoma State,Texas,regular
400869454,2016,5,Duke,Virginia,regular
400869294,2016,5,Boston College,Buffalo,regular
400869296,2016,5,Miami (OH),Ohio,regular
400869127,2016,5,Colorado,Oregon State,regular
400869295,2016,5,Bowling Green,Eastern Michigan,regular
400869013,2016,5,Georgia,Tennessee,regular
400869206,2016,5,Air Force,Navy,regular
400869293,2016,5,Kent State,Akron,regular
400869012,2016,5,Auburn,UL Monroe,regular
400869456,2016,5,NC State,Wake Forest,regular
400869663,2016,5,Maryland,Purdue,regular
400869664,2016,5,Michigan,Wisconsin,regular
400869455,2016,5,Florida State,North Carolina,regular
400869665,2016,5,Nebraska,Illinois,regular
400869297,2016,5,Ball State,Northern Illinois,regular
400869606,2016,5,West Virginia,Kansas State,regular
400868961,2016,5,Massachusetts,Tulane,regular
400869666,2016,5,Penn State,Minnesota,regular
400869016,2016,5,South Carolina,Texas A&M,regular
400869209,2016,5,New Mexico,San José State,regular
400869614,2016,5,TCU,Oklahoma,regular
400869819,2016,5,Idaho,Troy,regular
400869370,2016,5,Charlotte,Old Dominion,regular
400869128,2016,5,California,Utah,regular
400869529,2016,5,Cincinnati,South Florida,regular
400869298,2016,5,Central Michigan,Western Michigan,regular
400869376,2016,5,Western Kentucky,Houston Christian,regular
400869372,2016,5,Louisiana Tech,UTEP,regular
400869375,2016,5,Southern Miss,Rice,regular
400869374,2016,5,North Texas,Middle Tennessee,regular
400869371,2016,5,Florida International,Florida Atlantic,regular
400869015,2016,5,Ole Miss,Memphis,regular
400869010,2016,5,Alabama,Kentucky,regular
400869373,2016,5,Pittsburgh,Marshall,regular
400869014,2016,5,LSU,Missouri,regular
400869821,2016,5,Texas State,Incarnate Word,regular
400869820,2016,5,New Mexico State,Louisiana,regular
400869661,2016,5,Indiana,Michigan State,regular
400869453,2016,5,Clemson,Louisville,regular
400869212,2016,5,South Alabama,San Diego State,regular
400869126,2016,5,USC,Arizona State,regular
400869129,2016,5,Washington State,Oregon,regular
400869208,2016,5,Colorado State,Wyoming,regular
400869207,2016,5,Boise State,Utah State,regular
400869125,2016,5,UCLA,Arizona,regular
400869210,2016,5,UNLV,Fresno State,regular
400869211,2016,5,Hawai'i,Nevada,regular
400869822,2016,6,Arkansas State,Georgia Southern,regular
400869531,2016,6,Memphis,Temple,regular
400869379,2016,6,Louisiana Tech,Western Kentucky,regular
400869457,2016,6,Boston College,Clemson,regular
400868962,2016,6,Old Dominion,Massachusetts,regular
400869533,2016,6,Tulsa,SMU,regular
400869214,2016,6,New Mexico,Boise State,regular
400869534,2016,6,UConn,Cincinnati,regular
400869535,2016,6,South Florida,East Carolina,regular
400869668,2016,6,Minnesota,Iowa,regular
400869669,2016,6,Penn State,Maryland,regular
400868951,2016,6,NC State,Notre Dame,regular
400869615,2016,6,Oklahoma,Texas,regular
400869021,2016,6,Mississippi State,Auburn,regular
400869381,2016,6,UTSA,Southern Miss,regular
