team,season,rating,games_played,avg_margin,home_road_split,model_version
North Dakota State,2025,24.00778339631213,11,28.272727272727273,-3.0666666666666664,0.1.0
Jacksonville State,2025,20.729828850014112,29,9.379310344827585,11.442307692307692,0.1.0
James Madison,2025,18.80410559240881,37,14.891891891891891,14.055882352941179,0.1.0
Alabama,2025,18.525184204813772,82,16.341463414634145,10.101674641148326,0.1.0
Tarleton State,2025,18.19117275045914,11,29.09090909090909,16.333333333333332,0.1.0
Ohio State,2025,17.703015412966842,90,20.522222222222222,8.748639287481446,0.1.0
Georgia,2025,17.251701065928707,92,15.608695652173912,3.631703844328431,0.1.0
Montana State,2025,16.92136602004089,11,22.636363636363637,18.678571428571427,0.1.0
Harvard,2025,16.66430285212438,9,25.555555555555557,-10.25,0.1.0
Penn State,2025,15.890057706065658,88,13.261363636363637,3.285263157894736,0.1.0
Clemson,2025,15.762263208566427,87,15.057471264367816,2.5047568710359425,0.1.0
Montana,2025,15.63864736715546,11,19.181818181818183,-3.25,0.1.0
Missouri State,2025,14.446263612874318,10,-1.6,15.2,0.1.0
Notre Dame,2025,14.111088177859308,81,16.185185185185187,12.149068322981366,0.1.0
Delaware,2025,13.872210549589553,10,-2.5,13.8,0.1.0
North Dakota,2025,13.583222789950891,11,16.272727272727273,15.266666666666667,0.1.0
Michigan,2025,12.966591699459737,86,13.523255813953488,4.999999999999998,0.1.0
Mercer,2025,12.249247539743134,10,22.0,7.200000000000003,0.1.0
Lehigh,2025,11.782989409072727,11,20.818181818181817,2.9666666666666686,0.1.0
Sacramento State,2025,10.597661180333517,11,8.545454545454545,-5.6,0.1.0
Iowa,2025,10.465563717098439,84,5.726190476190476,3.725,0.1.0
South Dakota State,2025,10.399035022106924,11,6.636363636363637,0.6071428571428568,0.1.0
LSU,2025,9.980741463384753,81,9.555555555555555,12.748086734693878,0.1.0
Illinois State,2025,9.930802405235037,11,6.454545454545454,-3.4000000000000004,0.1.0
Monmouth,2025,9.618293302589576,11,14.0,-7.857142857142858,0.1.0
Kennesaw State,2025,9.005401426246364,18,-4.055555555555555,14.555555555555557,0.1.0
Liberty,2025,8.75146143170113,58,3.4827586206896552,9.09375,0.1.0
Washington,2025,8.454854761114136,85,7.658823529411765,10.225055432372507,0.1.0
Southern Utah,2025,8.429134343610526,10,5.1,9.4,0.1.0
Auburn,2025,7.987420403823913,79,3.5949367088607596,10.177002583979329,0.1.0
Southern Illinois,2025,7.927485466796227,11,7.909090909090909,10.066666666666666,0.1.0
Stephen F. Austin,2025,7.847062238645229,11,17.818181818181817,19.46666666666667,0.1.0
Oklahoma,2025,7.846726043921082,84,8.619047619047619,9.343181818181819,0.1.0
Texas A&M,2025,7.800093771550628,77,4.714285714285714,13.761285909712722,0.1.0
Rhode Island,2025,7.796248125487166,11,11.545454545454545,7.0,0.1.0
Kansas State,2025,7.794290826651093,84,5.226190476190476,2.671794871794872,0.1.0
New Hampshire,2025,7.792731453598185,11,5.2727272727272725,-7.892857142857142,0.1.0
Oregon,2025,7.499072915389888,86,9.5,10.8840108401084,0.1.0
Utah,2025,7.071101535891271,84,9.738095238095237,7.952380952380952,0.1.0
Memphis,2025,7.058811139307627,82,8.292682926829269,5.260584376863447,0.1.0
Sam Houston,2025,6.7720449716180156,27,-7.148148148148148,6.368131868131867,0.1.0
West Georgia,2025,6.6529933076082575,11,4.363636363636363,3.733333333333334,0.1.0
