game_id,season,week,season_type,home_away,team_id,team,conference,opponent_id,opponent,opponent_conference,completionAttempts,defensiveTDs,firstDowns,fourthDownEff,fumblesLost,fumblesRecovered,interceptionTDs,interceptionYards,interceptions,kickReturnTDs,kickReturnYards,kickReturns,kickingPoints,netPassingYards,passesDeflected,passesIntercepted,passingTDs,possessionTime,puntReturnTDs,puntReturnYards,puntReturns,qbHurries,rushingAttempts,rushingTDs,rushingYards,sacks,tackles,tacklesForLoss,thirdDownEff,totalFumbles,totalPenaltiesYards,totalYards,turnovers,yardsPerPass,yardsPerRushAttempt,points
401767620,2025.0,1.0,regular,home,2181.0,Drake,Pioneer,389.0,Upper Iowa University,Great Lakes,16-21,,25.0,2-2,0.0,1.0,0.0,0.0,1.0,0.0,10.0,1.0,11.0,278.0,,2.0,3.0,35:33,0.0,29.0,3.0,,48.0,2.0,201.0,,,,10-16,0.0,5-45,479.0,1.0,13.2,4.2,41
401767620,2025.0,1.0,regular,away,389.0,Upper Iowa University,Great Lakes,2181.0,Drake,Pioneer,18-30,,12.0,0-1,1.0,0.0,0.0,0.0,2.0,0.0,108.0,6.0,1.0,201.0,,1.0,1.0,24:27,0.0,5.0,2.0,,17.0,0.0,18.0,,,,4-11,2.0,5-45,219.0,3.0,6.7,1.1,7
401767547,2025.0,1.0,regular,home,79.0,Southern Illinois,MVFC,2646.0,Thomas More College,Great Midwest Athletic,19-29,,24.0,1-2,0.0,3.0,1.0,41.0,0.0,0.0,73.0,2.0,7.0,238.0,,2.0,3.0,26:48,0.0,27.0,1.0,,35.0,3.0,148.0,,,,5-11,1.0,6-60,386.0,0.0,8.2,4.2,49
401767547,2025.0,1.0,regular,away,2646.0,Thomas More College,Great Midwest Athletic,79.0,Southern Illinois,MVFC,18-29,,13.0,1-1,3.0,0.0,,,2.0,0.0,86.0,4.0,3.0,131.0,,,0.0,33:12,0.0,0.0,1.0,,32.0,0.0,60.0,,,,2-13,4.0,4-20,191.0,5.0,4.5,1.9,3
401767526,2025.0,1.0,regular,home,292.0,UT Rio Grande Valley,Southland,2834.0,Sul Ross State,Lone Star,26-27,,29.0,0-0,1.0,1.0,,,0.0,0.0,0.0,1.0,12.0,438.0,,,5.0,30:37,0.0,-2.0,1.0,,35.0,4.0,236.0,,,,7-9,1.0,8-71,674.0,1.0,16.2,6.7,66
401767526,2025.0,1.0,regular,away,2834.0,Sul Ross State,Lone Star,292.0,UT Rio Grande Valley,Southland,10-14,,6.0,0-1,1.0,1.0,,,0.0,0.0,128.0,7.0,,41.0,,,0.0,29:23,,,,,31.0,0.0,33.0,,,,2-12,1.0,12-70,74.0,1.0,2.9,1.1,0
401752947,2025.0,1.0,regular,home,265.0,Washington State,Pac-12,70.0,Idaho,Big Sky,23-31,0.0,13.0,2-2,1.0,2.0,,,0.0,0.0,36.0,2.0,7.0,208.0,2.0,,1.0,24:49,,,,2.0,22.0,0.0,3.0,0.0,39.0,4.0,3-12,2.0,7-48,211.0,1.0,6.7,0.1,13
401752947,2025.0,1.0,regular,away,70.0,Idaho,Big Sky,265.0,Washington State,Pac-12,12-20,0.0,16.0,1-1,2.0,1.0,,,0.0,0.0,45.0,2.0,4.0,33.0,0.0,,0.0,35:11,0.0,0.0,1.0,4.0,45.0,1.0,188.0,1.0,29.0,7.0,7-16,2.0,6-57,221.0,2.0,1.7,4.2,10
401754522,2025.0,1.0,regular,home,2390.0,Miami,ACC,87.0,Notre Dame,FBS Independents,20-31,0.0,20.0,1-2,0.0,1.0,0.0,12.0,0.0,0.0,32.0,1.0,9.0,205.0,3.0,1.0,2.0,33:57,0.0,9.0,1.0,1.0,37.0,1.0,127.0,3.0,31.0,5.0,5-14,0.0,6-51,332.0,0.0,6.6,3.4,27
401754522,2025.0,1.0,regular,away,87.0,Notre Dame,FBS Independents,2390.0,Miami,ACC,19-30,0.0,18.0,0-0,1.0,0.0,,,1.0,0.0,15.0,1.0,6.0,221.0,3.0,,2.0,26:03,0.0,9.0,2.0,1.0,27.0,1.0,94.0,1.0,32.0,2.0,4-9,2.0,5-30,315.0,2.0,7.4,3.5,24
401767634,2025.0,1.0,regular,home,2413.0,Morehead State,Pioneer,2019.0,Allen,SIAC,16-21,,17.0,1-2,0.0,,,,0.0,0.0,203.0,6.0,8.0,219.0,,,1.0,28:48,,,,,30.0,3.0,195.0,,,,3-8,,8-94,414.0,0.0,10.4,6.5,38
401767634,2025.0,1.0,regular,away,2019.0,Allen,SIAC,2413.0,Morehead State,Pioneer,26-38,,31.0,1-2,0.0,0.0,,,0.0,0.0,60.0,4.0,7.0,309.0,,,2.0,31:12,0.0,-6.0,1.0,,36.0,2.0,107.0,,,,4-11,1.0,1-0,416.0,0.0,8.1,3.0,31
401756876,2025.0,1.0,regular,away,2630.0,UT Martin,Big South-OVC,197.0,Oklahoma State,Big 12,10-17,0.0,13.0,0-0,0.0,,,,1.0,,,,1.0,109.0,2.0,,1.0,28:39,0.0,0.0,1.0,2.0,38.0,0.0,116.0,2.0,45.0,9.0,6-15,,7-50,225.0,1.0,6.4,3.1,7
401756876,2025.0,1.0,regular,home,197.0,Oklahoma State,Big 12,2630.0,UT Martin,Big South-OVC,18-30,0.0,20.0,1-1,0.0,,0.0,1.0,0.0,0.0,41.0,2.0,9.0,232.0,2.0,1.0,1.0,31:21,0.0,17.0,3.0,7.0,42.0,2.0,127.0,4.0,34.0,9.0,10-18,,5-55,359.0,0.0,7.7,3.0,27
401756855,2025.0,1.0,regular,away,155.0,North Dakota,MVFC,2306.0,Kansas State,Big 12,24-39,0.0,23.0,1-2,1.0,1.0,,,0.0,0.0,28.0,1.0,5.0,252.0,5.0,,1.0,31:14,0.0,20.0,2.0,3.0,33.0,4.0,102.0,1.0,46.0,3.0,5-14,2.0,4-30,354.0,1.0,6.5,3.1,35
401756855,2025.0,1.0,regular,home,2306.0,Kansas State,Big 12,155.0,North Dakota,MVFC,28-43,0.0,22.0,2-3,1.0,1.0,,,0.0,0.0,130.0,5.0,8.0,318.0,4.0,,3.0,28:46,0.0,23.0,3.0,6.0,27.0,2.0,146.0,3.0,43.0,10.0,5-13,2.0,3-36,464.0,1.0,7.4,5.4,38
401756846,2025.0,1.0,regular,away,66.0,Iowa State,Big 12,2306.0,Kansas State,Big 12,14-28,0.0,19.0,3-3,2.0,2.0,,,0.0,0.0,56.0,2.0,6.0,183.0,4.0,,2.0,33:52,,,,2.0,46.0,1.0,130.0,1.0,31.0,7.0,3-14,2.0,1-5,313.0,2.0,6.5,2.8,24
401756846,2025.0,1.0,regular,home,2306.0,Kansas State,Big 12,66.0,Iowa State,Big 12,21-30,0.0,13.0,1-4,2.0,2.0,,,0.0,0.0,66.0,3.0,3.0,273.0,6.0,,2.0,26:08,0.0,0.0,1.0,3.0,27.0,1.0,110.0,4.0,40.0,6.0,5-13,2.0,6-48,383.0,2.0,9.1,4.1,21
401752667,2025.0,1.0,regular,away,2.0,Auburn,SEC,239.0,Baylor,Big 12,11-17,1.0,25.0,1-1,0.0,0.0,,,0.0,1.0,98.0,1.0,8.0,108.0,3.0,,0.0,33:18,,,,3.0,52.0,4.0,307.0,4.0,39.0,5.0,5-10,1.0,9-83,415.0,0.0,6.4,5.9,38
401752667,2025.0,1.0,regular,home,239.0,Baylor,Big 12,2.0,Auburn,SEC,27-48,0.0,23.0,3-6,0.0,,,,0.0,0.0,53.0,2.0,6.0,419.0,3.0,,3.0,26:42,,,,1.0,24.0,0.0,64.0,1.0,41.0,1.0,5-15,,6-55,483.0,0.0,8.7,2.7,24
401756853,2025.0,1.0,regular,away,233.0,South Dakota,MVFC,66.0,Iowa State,Big 12,15-29,0.0,11.0,0-1,0.0,0.0,,,2.0,0.0,47.0,3.0,1.0,126.0,0.0,,1.0,24:42,,,,0.0,21.0,0.0,82.0,0.0,31.0,2.0,5-12,1.0,5-36,208.0,2.0,4.3,3.9,7
401756853,2025.0,1.0,regular,home,66.0,Iowa State,Big 12,233.0,South Dakota,MVFC,23-25,0.0,28.0,0-0,0.0,,0.0,22.0,0.0,,,,13.0,306.0,3.0,2.0,3.0,35:18,0.0,117.0,2.0,4.0,42.0,4.0,223.0,0.0,17.0,4.0,9-10,,3-30,529.0,0.0,12.2,5.3,55
401756877,2025.0,1.0,regular,away,2029.0,Arkansas-Pine Bluff,SWAC,2641.0,Texas Tech,Big 12,17-33,0.0,11.0,1-2,0.0,0.0,,,1.0,0.0,18.0,1.0,1.0,122.0,0.0,,1.0,32:38,,,,1.0,26.0,0.0,53.0,0.0,44.0,2.0,4-15,2.0,4-31,175.0,1.0,3.7,2.0,7
401756877,2025.0,1.0,regular,home,2641.0,Texas Tech,Big 12,2029.0,Arkansas-Pine Bluff,SWAC,25-32,0.0,33.0,1-1,0.0,0.0,0.0,7.0,0.0,0.0,54.0,2.0,13.0,314.0,2.0,1.0,6.0,27:22,0.0,5.0,4.0,5.0,28.0,3.0,296.0,3.0,29.0,6.0,5-8,2.0,7-60,610.0,0.0,9.8,10.6,67
401756854,2025.0,1.0,regular,away,2681.0,Wagner,NEC,2305.0,Kansas,Big 12,13-20,0.0,6.0,1-1,0.0,1.0,0.0,0.0,0.0,,,,1.0,90.0,2.0,1.0,1.0,26:45,,,,0.0,28.0,0.0,53.0,0.0,60.0,0.0,2-14,0.0,10-70,143.0,0.0,4.5,1.9,7
401756854,2025.0,1.0,regular,home,2305.0,Kansas,Big 12,2681.0,Wagner,NEC,23-34,0.0,32.0,1-2,1.0,0.0,,,1.0,0.0,34.0,1.0,8.0,346.0,2.0,,4.0,33:15,0.0,62.0,9.0,4.0,44.0,2.0,285.0,3.0,32.0,9.0,4-10,1.0,6-55,631.0,2.0,10.2,6.5,46
401756847,2025.0,1.0,regular,away,278.0,Fresno State,Mountain West,2305.0,Kansas,Big 12,18-29,0.0,13.0,1-2,1.0,0.0,,,2.0,,,,1.0,179.0,0.0,,0.0,26:52,0.0,1.0,2.0,2.0,29.0,1.0,37.0,1.0,38.0,5.0,7-15,2.0,4-50,216.0,3.0,6.2,1.3,7
401756847,2025.0,1.0,regular,home,2305.0,Kansas,Big 12,278.0,Fresno State,Mountain West,18-20,0.0,22.0,2-3,0.0,1.0,0.0,0.0,0.0,0.0,14.0,1.0,7.0,176.0,4.0,2.0,3.0,33:08,0.0,0.0,1.0,4.0,38.0,1.0,207.0,3.0,35.0,10.0,2-10,1.0,9-72,383.0,0.0,8.8,5.4,31
401754523,2025.0,1.0,regular,home,153.0,North Carolina,ACC,2628.0,TCU,Big 12,13-21,0.0,10.0,1-1,2.0,0.0,0.0,0.0,1.0,0.0,126.0,6.0,2.0,172.0,2.0,1.0,1.0,27:51,,,,3.0,28.0,1.0,50.0,0.0,41.0,3.0,1-10,4.0,3-25,222.0,3.0,8.2,1.8,14
401754523,2025.0,1.0,regular,away,2628.0,TCU,Big 12,153.0,North Carolina,ACC,27-37,2.0,29.0,1-1,0.0,2.0,1.0,25.0,1.0,,,,12.0,284.0,1.0,1.0,2.0,32:09,,,,1.0,35.0,2.0,258.0,2.0,32.0,8.0,7-12,0.0,5-58,542.0,1.0,7.7,7.4,48
401756878,2025.0,1.0,regular,away,2523.0,Robert Morris,NEC,277.0,West Virginia,Big 12,7-22,0.0,8.0,0-0,2.0,3.0,,,0.0,0.0,50.0,3.0,3.0,70.0,0.0,,0.0,32:30,,,,1.0,37.0,0.0,53.0,1.0,49.0,3.0,3-15,2.0,4-24,123.0,2.0,3.2,1.4,3
401756878,2025.0,1.0,regular,home,277.0,West Virginia,Big 12,2523.0,Robert Morris,NEC,18-23,0.0,26.0,1-2,4.0,2.0,,,0.0,0.0,48.0,2.0,9.0,232.0,2.0,,1.0,27:30,0.0,52.0,5.0,4.0,53.0,5.0,393.0,4.0,31.0,8.0,5-11,5.0,9-69,625.0,4.0,10.1,7.4,45
401767179,2025.0,1.0,regular,home,2296.0,Jackson State,SWAC,2261.0,Hampton,CAA,15-30,,19.0,0-0,0.0,2.0,0.0,5.0,0.0,0.0,46.0,2.0,4.0,143.0,,1.0,0.0,26:27,0.0,31.0,3.0,,32.0,4.0,283.0,,,,6-14,1.0,10-89,426.0,0.0,4.8,8.8,28
401767179,2025.0,1.0,regular,away,2261.0,Hampton,CAA,2296.0,Jackson State,SWAC,21-29,,20.0,1-3,2.0,0.0,,,1.0,0.0,19.0,2.0,2.0,201.0,,,1.0,33:33,0.0,2.0,4.0,,41.0,1.0,175.0,,,,5-14,4.0,5-33,376.0,3.0,6.9,4.3,14
401767256,2025.0,1.0,regular,home,2142.0,Colgate,Patriot,2405.0,Monmouth,CAA,21-37,,27.0,2-3,1.0,0.0,0.0,9.0,0.0,0.0,93.0,5.0,7.0,365.0,,4.0,3.0,32:57,,,,,40.0,2.0,176.0,,,,7-14,1.0,4-40,541.0,1.0,9.9,4.4,39
401767256,2025.0,1.0,regular,away,2405.0,Monmouth,CAA,2142.0,Colgate,Patriot,34-45,,32.0,1-2,0.0,1.0,,,4.0,0.0,49.0,3.0,4.0,491.0,,,4.0,27:03,,,,,28.0,2.0,187.0,,,,9-14,0.0,3-32,678.0,4.0,10.9,6.7,42
401767657,2025.0,1.0,regular,home,2529.0,Sacred Heart,FCS Independents,284.0,Stonehill,NEC,11-21,,18.0,1-3,0.0,,0.0,7.0,1.0,0.0,66.0,2.0,4.0,119.0,,1.0,0.0,32:22,,,,,43.0,1.0,169.0,,,,7-14,,4-40,288.0,1.0,5.7,3.9,12
401767657,2025.0,1.0,regular,away,284.0,Stonehill,NEC,2529.0,Sacred Heart,FCS Independents,30-39,,16.0,4-5,0.0,,0.0,0.0,1.0,0.0,23.0,1.0,1.0,212.0,,1.0,1.0,27:38,0.0,15.0,1.0,,24.0,0.0,49.0,,,,1-12,,7-45,261.0,1.0,5.4,2.0,7
401752679,2025.0,1.0,regular,home,238.0,Vanderbilt,SEC,2127.0,Charleston Southern,Big South-OVC,21-28,0.0,25.0,0-0,0.0,1.0,0.0,0.0,0.0,0.0,29.0,1.0,9.0,280.0,3.0,1.0,3.0,32:09,0.0,11.0,1.0,3.0,31.0,3.0,201.0,3.0,28.0,6.0,6-9,1.0,7-60,481.0,0.0,10.0,6.5,45
401752679,2025.0,1.0,regular,away,2127.0,Charleston Southern,Big South-OVC,238.0,Vanderbilt,SEC,10-19,0.0,7.0,1-1,1.0,0.0,,,1.0,0.0,15.0,1.0,3.0,88.0,1.0,,0.0,27:51,,,,2.0,27.0,0.0,47.0,1.0,26.0,2.0,3-13,1.0,5-54,135.0,2.0,4.6,1.7,3
401767171,2025.0,1.0,regular,away,2168.0,Dayton,Pioneer,2197.0,Eastern Illinois,Big South-OVC,17-31,,9.0,0-1,1.0,2.0,0.0,0.0,0.0,0.0,77.0,3.0,2.0,261.0,,1.0,2.0,19:43,0.0,36.0,3.0,,19.0,0.0,31.0,,,,3-13,1.0,2-18,292.0,1.0,8.4,1.6,14
401767171,2025.0,1.0,regular,home,2197.0,Eastern Illinois,Big South-OVC,2168.0,Dayton,Pioneer,9-18,,25.0,0-1,2.0,1.0,,,1.0,,,,6.0,129.0,,,0.0,40:17,0.0,19.0,3.0,,62.0,3.0,336.0,,,,9-17,2.0,5-44,465.0,3.0,7.2,5.4,24
401767201,2025.0,1.0,regular,home,2717.0,Western Carolina,Southern,2241.0,Gardner-Webb,Big South-OVC,18-36,,21.0,1-1,2.0,1.0,0.0,61.0,1.0,0.0,96.0,5.0,9.0,233.0,,1.0,3.0,24:22,0.0,21.0,2.0,,42.0,3.0,221.0,,,,7-18,3.0,8-54,454.0,3.0,6.5,5.3,45
401767201,2025.0,1.0,regular,away,2241.0,Gardner-Webb,Big South-OVC,2717.0,Western Carolina,Southern,13-33,,25.0,2-4,1.0,2.0,0.0,0.0,1.0,0.0,99.0,4.0,10.0,292.0,,1.0,2.0,35:38,0.0,23.0,3.0,,57.0,5.0,335.0,,,,4-16,1.0,8-64,627.0,2.0,8.8,5.9,52
401761591,2025.0,1.0,regular,home,2032.0,Arkansas State,Sun Belt,2546.0,Southeast Missouri State,Big South-OVC,26-32,0.0,25.0,1-2,1.0,1.0,,,0.0,0.0,30.0,1.0,6.0,345.0,1.0,,3.0,30:52,0.0,23.0,2.0,5.0,36.0,3.0,147.0,3.0,32.0,6.0,5-11,3.0,7-70,492.0,1.0,10.8,4.1,42
401761591,2025.0,1.0,regular,away,2546.0,Southeast Missouri State,Big South-OVC,2032.0,Arkansas State,Sun Belt,26-36,0.0,20.0,2-3,1.0,1.0,,,0.0,0.0,7.0,1.0,6.0,272.0,2.0,,2.0,29:08,0.0,2.0,1.0,1.0,33.0,1.0,92.0,0.0,32.0,4.0,6-14,1.0,8-71,364.0,1.0,7.6,2.8,24
401767223,2025.0,1.0,regular,away,2448.0,North Carolina A&T,CAA,2634.0,Tennessee State,Big South-OVC,16-22,,15.0,0-0,3.0,0.0,0.0,0.0,0.0,0.0,59.0,3.0,3.0,210.0,,1.0,1.0,32:55,0.0,30.0,5.0,,41.0,2.0,133.0,,,,5-15,4.0,8-55,343.0,3.0,9.5,3.2,21
401767223,2025.0,1.0,regular,home,2634.0,Tennessee State,Big South-OVC,2448.0,North Carolina A&T,CAA,11-21,,11.0,0-0,0.0,3.0,,,1.0,0.0,43.0,3.0,6.0,123.0,,,1.0,27:05,0.0,22.0,2.0,,28.0,2.0,159.0,,,,2-11,1.0,8-68,282.0,1.0,5.9,5.7,24
401767230,2025.0,1.0,regular,away,2161.0,Cumberland (TN),,2635.0,Tennessee Tech,Big South-OVC,7-16,,9.0,0-1,0.0,0.0,,,1.0,0.0,86.0,8.0,,40.0,,,0.0,29:46,,,,,39.0,0.0,64.0,,,,1-15,2.0,5-39,104.0,1.0,2.5,1.6,0
401767230,2025.0,1.0,regular,home,2635.0,Tennessee Tech,Big South-OVC,2161.0,Cumberland (TN),,19-28,,24.0,1-3,0.0,0.0,0.0,1.0,0.0,0.0,36.0,1.0,11.0,284.0,,1.0,3.0,30:14,1.0,118.0,3.0,,30.0,5.0,287.0,,,,5-8,1.0,7-90,571.0,0.0,10.1,9.6,65
401767209,2025.0,1.0,regular,home,2900.0,St. Thomas (MN),Pioneer,2815.0,Lindenwood,Big South-OVC,11-19,,23.0,1-1,0.0,1.0,,,0.0,0.0,17.0,2.0,5.0,172.0,,,2.0,29:17,,,,,44.0,3.0,275.0,,,,7-11,0.0,7-42,447.0,0.0,9.1,6.3,35
401767209,2025.0,1.0,regular,away,2815.0,Lindenwood,Big South-OVC,2900.0,St. Thomas (MN),Pioneer,18-30,,22.0,0-1,1.0,0.0,,,0.0,0.0,44.0,3.0,1.0,318.0,,,1.0,30:43,0.0,7.0,3.0,,35.0,1.0,132.0,,,,4-12,1.0,4-41,450.0,1.0,10.6,3.8,13
401767140,2025.0,1.0,regular,home,227.0,Rhode Island,CAA,2097.0,Campbell,CAA,15-28,,21.0,1-1,3.0,1.0,,,0.0,0.0,17.0,1.0,7.0,275.0,,,2.0,28:55,0.0,16.0,2.0,,34.0,2.0,109.0,,,,4-11,3.0,9-62,384.0,3.0,9.8,3.2,31
401767140,2025.0,1.0,regular,away,2097.0,Campbell,CAA,227.0,Rhode Island,CAA,18-36,,13.0,1-2,1.0,3.0,,,0.0,0.0,88.0,4.0,8.0,148.0,,,1.0,31:05,0.0,6.0,2.0,,32.0,1.0,120.0,,,,3-15,1.0,11-98,268.0,1.0,4.1,3.8,20
401767454,2025.0,1.0,regular,home,2193.0,East Tennessee State,Southern,93.0,Murray State,MVFC,17-25,,31.0,3-3,1.0,0.0,0.0,1.0,1.0,0.0,9.0,1.0,9.0,180.0,,2.0,1.0,31:09,0.0,9.0,1.0,,58.0,5.0,392.0,,,,6-12,2.0,5-53,572.0,2.0,7.2,6.8,45
401767454,2025.0,1.0,regular,away,93.0,Murray State,MVFC,2193.0,East Tennessee State,Southern,22-35,,18.0,2-3,0.0,1.0,0.0,16.0,2.0,0.0,51.0,4.0,5.0,226.0,,1.0,1.0,28:51,,,,,28.0,1.0,34.0,,,,2-12,1.0,6-35,260.0,2.0,6.5,1.2,17
