id,season,week,seasonType,startDate,startTimeTBD,completed,neutralSite,conferenceGame,venueId,venue,homeId,homeTeam,homeConference,homeClassification,homePregameElo,awayId,awayTeam,awayConference,awayClassification,awayPregameElo,highlights,attendance,homePoints,homeLineScores,homePostgameWinProbability,homePostgameElo,awayPoints,awayLineScores,awayPostgameWinProbability,awayPostgameElo,excitementIndex,notes,fetched_at_utc
401762862,2025,13,regular,2025-11-19 00:00:00+00:00,False,False,False,True,3700,Doyt L. Perry Stadium,189,Bowling Green,Mid-American,fbs,1244.0,2006,Akron,Mid-American,fbs,1087.0,,,,,,,,,,,,,2025-11-14T06:12:10.572423+00:00
401762864,2025,13,regular,2025-11-19 00:00:00+00:00,False,False,False,True,3764,Huskie Stadium,2459,Northern Illinois,Mid-American,fbs,1289.0,2711,Western Michigan,Mid-American,fbs,1378.0,,,,,,,,,,,,,2025-11-14T06:12:10.572423+00:00
401762863,2025,13,regular,2025-11-19 00:00:00+00:00,False,False,False,True,3876,Peden Stadium,195,Ohio,Mid-American,fbs,1585.0,113,Massachusetts,Mid-American,fbs,735.0,,,,,,,,,,,,,2025-11-14T06:12:10.572423+00:00
401762866,2025,13,regular,2025-11-20 00:00:00+00:00,False,False,False,True,3696,Dix Stadium,2309,Kent State,Mid-American,fbs,972.0,2117,Central Michigan,Mid-American,fbs,1293.0,,,,,,,,,,,,,2025-11-14T06:12:10.572423+00:00
401762865,2025,13,regular,2025-11-20 00:00:00+00:00,False,False,False,True,3965,UB Stadium,2084,Buffalo,Mid-American,fbs,1318.0,193,Miami (OH),Mid-American,fbs,1421.0,,,,,,,,,,,,,2025-11-14T06:12:10.572423+00:00
401767520,2025,13,regular,2025-11-21 00:00:00+00:00,False,False,False,True,3944,Strawberry Stadium,2545,SE Louisiana,Southland,fcs,,2447,Nicholls,Southland,fcs,,,,,,,,,,,,,,2025-11-14T06:12:10.572423+00:00
401767522,2025,13,regular,2025-11-21 00:30:00+00:00,False,False,False,True,3963,Harry Turpin Stadium,2466,Northwestern State,Southland,fcs,,2617,Stephen F. Austin,Southland,fcs,,,,,,,,,,,,,,2025-11-14T06:12:10.572423+00:00
401761655,2025,13,regular,2025-11-21 00:30:00+00:00,False,False,False,True,3625,Centennial Bank Stadium,2032,Arkansas State,Sun Belt,fbs,1306.0,309,Louisiana,Sun Belt,fbs,1350.0,,,,,,,,,,,,,2025-11-14T06:12:10.572423+00:00
401754598,2025,13,regular,2025-11-22 01:00:00+00:00,False,False,False,True,3670,Carter-Finley Stadium,152,NC State,ACC,fbs,1498.0,52,Florida State,ACC,fbs,1609.0,,,,,,,,,,,,,2025-11-14T06:12:10.572423+00:00
401760418,2025,13,regular,2025-11-22 03:30:00+00:00,False,False,False,True,6501,Allegiant Stadium,2439,UNLV,Mountain West,fbs,1605.0,62,Hawai'i,Mountain West,fbs,1480.0,,,,,,,,,,,,,2025-11-14T06:12:10.572423+00:00
401752780,2025,13,regular,2025-11-22 05:00:00+00:00,True,False,False,True,3910,DKR-Texas Memorial Stadium,251,Texas,SEC,fbs,1924.0,8,Arkansas,SEC,fbs,1594.0,,,,,,,,,,,,FLEX: 3:30 - 4:30pm OR 6 - 8pm ET start,2025-11-14T06:12:10.572423+00:00
401767761,2025,13,regular,2025-11-22 05:00:00+00:00,True,False,False,True,6043,Bethpage Federal Credit Union Stadium,2341,Long Island University,NEC,fcs,,2681,Wagner,NEC,fcs,,,,,,,,,,,,,,2025-11-14T06:12:10.572423+00:00
401767749,2025,13,regular,2025-11-22 05:00:00+00:00,True,False,False,True,3624,Arute Field,2115,Central Connecticut,NEC,fcs,,2385,Mercyhurst,NEC,fcs,,,,,,,,,,,,,,2025-11-14T06:12:10.572423+00:00
401767125,2025,13,regular,2025-11-22 05:00:00+00:00,True,False,False,True,3856,Nottingham Field,2458,Northern Colorado,Big Sky,fcs,,2502,Portland State,Big Sky,fcs,,,,,,,,,,,,,,2025-11-14T06:12:10.572423+00:00
401762511,2025,13,regular,2025-11-22 05:00:00+00:00,True,False,False,True,7221,Protective Stadium,5,UAB,American Athletic,fbs,1223.0,58,South Florida,American Athletic,fbs,1734.0,,,,,,,,,,,,,2025-11-14T06:12:10.572423+00:00
401767430,2025,13,regular,2025-11-22 05:00:00+00:00,True,False,False,True,5238,Panther Stadium,2504,Prairie View A&M,SWAC,fcs,,2400,Mississippi Valley State,SWAC,fcs,,,,,,,,,,,,,,2025-11-14T06:12:10.572423+00:00
401754601,2025,13,regular,2025-11-22 05:00:00+00:00,True,False,False,True,721,Bobby Dodd Stadium,59,Georgia Tech,ACC,fbs,1612.0,221,Pittsburgh,ACC,fbs,1668.0,,,,,,,,,,,,,2025-11-14T06:12:10.572423+00:00
401767696,2025,13,regular,2025-11-22 05:00:00+00:00,True,False,False,True,3921,Schoellkopf Field,172,Cornell,Ivy,fcs,,171,Columbia,Ivy,fcs,,,,,,,,,,,,,,2025-11-14T06:12:10.572423+00:00
401752910,2025,13,regular,2025-11-22 05:00:00+00:00,True,False,False,True,1056,Rose Bowl,26,UCLA,Big Ten,fbs,1381.0,264,Washington,Big Ten,fbs,1699.0,,,,,,,,,,,,,2025-11-14T06:12:10.572423+00:00
401754603,2025,13,regular,2025-11-22 05:00:00+00:00,True,False,False,True,3799,Lane Stadium,259,Virginia Tech,ACC,fbs,1431.0,2390,Miami,ACC,fbs,1865.0,,,,,,,,,,,,,2025-11-14T06:12:10.572423+00:00
401752912,2025,13,regular,2025-11-22 05:00:00+00:00,True,False,False,True,3861,Ohio Stadium,194,Ohio State,Big Ten,fbs,2125.0,164,Rutgers,Big Ten,fbs,1458.0,,,,,,,,,,,,,2025-11-14T06:12:10.572423+00:00
401762513,2025,13,regular,2025-11-22 05:00:00+00:00,True,False,False,True,3604,Alamodome,2636,UTSA,American Athletic,fbs,1465.0,151,East Carolina,American Athletic,fbs,1599.0,,,,,,,,,,,,,2025-11-14T06:12:10.572423+00:00
401762514,2025,13,regular,2025-11-22 05:00:00+00:00,True,False,False,True,3895,Rice Stadium,242,Rice,American Athletic,fbs,1169.0,249,North Texas,American Athletic,fbs,1690.0,,,,,,,,,,,,,2025-11-14T06:12:10.572423+00:00
401762515,2025,13,regular,2025-11-22 05:00:00+00:00,True,False,False,True,3806,Lincoln Financial Field,218,Temple,American Athletic,fbs,1266.0,2655,Tulane,American Athletic,fbs,1545.0,,,,,,,,,,,,,2025-11-14T06:12:10.572423+00:00
401752954,2025,13,regular,2025-11-22 05:00:00+00:00,True,False,False,False,3651,Bridgeforth Stadium,256,James Madison,Sun Belt,fbs,1802.0,265,Washington State,Pac-12,fbs,1434.0,,,,,,,,,,,,,2025-11-14T06:12:10.572423+00:00
401752913,2025,13,regular,2025-11-22 05:00:00+00:00,True,False,False,True,3793,Kinnick Stadium,2294,Iowa,Big Ten,fbs,1912.0,127,Michigan State,Big Ten,fbs,1365.0,,,,,,,,,,,,,2025-11-14T06:12:10.572423+00:00
401752914,2025,13,regular,2025-11-22 05:00:00+00:00,True,False,False,True,3665,SECU Stadium,120,Maryland,Big Ten,fbs,1467.0,130,Michigan,Big Ten,fbs,1809.0,,,,,,,,,,,,,2025-11-14T06:12:10.572423+00:00
401752915,2025,13,regular,2025-11-22 05:00:00+00:00,True,False,False,True,347,Camp Randall Stadium,275,Wisconsin,Big Ten,fbs,1459.0,356,Illinois,Big Ten,fbs,1603.0,,,,,,,,,,,,,2025-11-14T06:12:10.572423+00:00
401752911,2025,13,regular,2025-11-22 05:00:00+00:00,True,False,False,True,3626,Autzen Stadium,2483,Oregon,Big Ten,fbs,2050.0,30,USC,Big Ten,fbs,1911.0,,,,,,,,,,,,,2025-11-14T06:12:10.572423+00:00
401752908,2025,13,regular,2025-11-22 05:00:00+00:00,True,False,False,True,3632,Beaver Stadium,213,Penn State,Big Ten,fbs,1950.0,158,Nebraska,Big Ten,fbs,1648.0,,,,,,,,,,,,,2025-11-14T06:12:10.572423+00:00
401752909,2025,13,regular,2025-11-22 05:00:00+00:00,True,False,True,True,4250,Wrigley Field,77,Northwestern,Big Ten,fbs,1516.0,135,Minnesota,Big Ten,fbs,1514.0,,,,,,,,,,,,,2025-11-14T06:12:10.572423+00:00
401754600,2025,13,regular,2025-11-22 05:00:00+00:00,True,False,False,True,3787,Kenan Stadium,153,North Carolina,ACC,fbs,1393.0,150,Duke,ACC,fbs,1625.0,,,,,,,,,,,,,2025-11-14T06:12:10.572423+00:00
401756956,2025,13,regular,2025-11-22 05:00:00+00:00,True,False,False,True,3726,Folsom Field,38,Colorado,Big 12,fbs,1377.0,9,Arizona State,Big 12,fbs,1617.0,,,,,,,,,,,,,2025-11-14T06:12:10.572423+00:00
401760416,2025,13,regular,2025-11-22 05:00:00+00:00,True,False,False,True,3653,Albertsons Stadium,68,Boise State,Mountain West,fbs,1616.0,36,Colorado State,Mountain West,fbs,1221.0,,,,,,,,,,,,,2025-11-14T06:12:10.572423+00:00
401756958,2025,13,regular,2025-11-22 05:00:00+00:00,True,False,False,True,3772,Jack Trice Stadium,66,Iowa State,Big 12,fbs,1600.0,2305,Kansas,Big 12,fbs,1554.0,,,,,,,,,,,,,2025-11-14T06:12:10.572423+00:00
401756960,2025,13,regular,2025-11-22 05:00:00+00:00,True,False,False,True,587,Rice-Eccles Stadium,254,Utah,Big 12,fbs,1941.0,2306,Kansas State,Big 12,fbs,1705.0,,,,,,,,,,,,,2025-11-14T06:12:10.572423+00:00
401754602,2025,13,regular,2025-11-22 05:00:00+00:00,True,False,False,True,3735,Gerald J. Ford Stadium,2567,SMU,ACC,fbs,1782.0,97,Louisville,ACC,fbs,1709.0,,,,,,,,,,,,,2025-11-14T06:12:10.572423+00:00
401756954,2025,13,regular,2025-11-22 05:00:00+00:00,True,False,False,True,3619,Arizona Stadium,12,Arizona,Big 12,fbs,1580.0,239,Baylor,Big 12,fbs,1621.0,,,,,,,,,,,,,2025-11-14T06:12:10.572423+00:00
