id,season,week,season_type,start_date,start_time_tbd,neutral_site,conference_game,attendance,venue_id,venue,home_id,home_team,home_conference,home_points,home_line_scores,home_post_win_prob,home_pregame_elo,home_postgame_elo,away_id,away_team,away_conference,away_points,away_line_scores,away_post_win_prob,away_pregame_elo,away_postgame_elo,excitement_index,highlights,notes,fetched_at_utc
401762862,2025,13,,,,,,,,Doyt L. Perry Stadium,,,,,,,,,,,,,,,,,,,,2025-11-14T17:05:30.742659+00:00
401762864,2025,13,,,,,,,,Huskie Stadium,,,,,,,,,,,,,,,,,,,,2025-11-14T17:05:30.742659+00:00
401762863,2025,13,,,,,,,,Peden Stadium,,,,,,,,,,,,,,,,,,,,2025-11-14T17:05:30.742659+00:00
401762866,2025,13,,,,,,,,Dix Stadium,,,,,,,,,,,,,,,,,,,,2025-11-14T17:05:30.742659+00:00
401762865,2025,13,,,,,,,,UB Stadium,,,,,,,,,,,,,,,,,,,,2025-11-14T17:05:30.742659+00:00
401767520,2025,13,,,,,,,,Strawberry Stadium,,,,,,,,,,,,,,,,,,,,2025-11-14T17:05:30.742659+00:00
401767522,2025,13,,,,,,,,Harry Turpin Stadium,,,,,,,,,,,,,,,,,,,,2025-11-14T17:05:30.742659+00:00
401761655,2025,13,,,,,,,,Centennial Bank Stadium,,,,,,,,,,,,,,,,,,,,2025-11-14T17:05:30.742659+00:00
401754598,2025,13,,,,,,,,Carter-Finley Stadium,,,,,,,,,,,,,,,,,,,,2025-11-14T17:05:30.742659+00:00
401760418,2025,13,,,,,,,,Allegiant Stadium,,,,,,,,,,,,,,,,,,,,2025-11-14T17:05:30.742659+00:00
401752780,2025,13,,,,,,,,DKR-Texas Memorial Stadium,,,,,,,,,,,,,,,,,,,FLEX: 3:30 - 4:30pm OR 6 - 8pm ET start,2025-11-14T17:05:30.742659+00:00
401767761,2025,13,,,,,,,,Bethpage Federal Credit Union Stadium,,,,,,,,,,,,,,,,,,,,2025-11-14T17:05:30.742659+00:00
401767749,2025,13,,,,,,,,Arute Field,,,,,,,,,,,,,,,,,,,,2025-11-14T17:05:30.742659+00:00
401767125,2025,13,,,,,,,,Nottingham Field,,,,,,,,,,,,,,,,,,,,2025-11-14T17:05:30.742659+00:00
401762511,2025,13,,,,,,,,Protective Stadium,,,,,,,,,,,,,,,,,,,,2025-11-14T17:05:30.742659+00:00
401767430,2025,13,,,,,,,,Panther Stadium,,,,,,,,,,,,,,,,,,,,2025-11-14T17:05:30.742659+00:00
401754601,2025,13,,,,,,,,Bobby Dodd Stadium,,,,,,,,,,,,,,,,,,,,2025-11-14T17:05:30.742659+00:00
401767696,2025,13,,,,,,,,Schoellkopf Field,,,,,,,,,,,,,,,,,,,,2025-11-14T17:05:30.742659+00:00
401752910,2025,13,,,,,,,,Rose Bowl,,,,,,,,,,,,,,,,,,,,2025-11-14T17:05:30.742659+00:00
401754603,2025,13,,,,,,,,Lane Stadium,,,,,,,,,,,,,,,,,,,,2025-11-14T17:05:30.742659+00:00
401752912,2025,13,,,,,,,,Ohio Stadium,,,,,,,,,,,,,,,,,,,,2025-11-14T17:05:30.742659+00:00
401762513,2025,13,,,,,,,,Alamodome,,,,,,,,,,,,,,,,,,,,2025-11-14T17:05:30.742659+00:00
401762514,2025,13,,,,,,,,Rice Stadium,,,,,,,,,,,,,,,,,,,,2025-11-14T17:05:30.742659+00:00
401762515,2025,13,,,,,,,,Lincoln Financial Field,,,,,,,,,,,,,,,,,,,,2025-11-14T17:05:30.742659+00:00
401752954,2025,13,,,,,,,,Bridgeforth Stadium,,,,,,,,,,,,,,,,,,,,2025-11-14T17:05:30.742659+00:00
401752913,2025,13,,,,,,,,Kinnick Stadium,,,,,,,,,,,,,,,,,,,,2025-11-14T17:05:30.742659+00:00
401752914,2025,13,,,,,,,,SECU Stadium,,,,,,,,,,,,,,,,,,,,2025-11-14T17:05:30.742659+00:00
401752915,2025,13,,,,,,,,Camp Randall Stadium,,,,,,,,,,,,,,,,,,,,2025-11-14T17:05:30.742659+00:00
401752911,2025,13,,,,,,,,Autzen Stadium,,,,,,,,,,,,,,,,,,,,2025-11-14T17:05:30.742659+00:00
401752908,2025,13,,,,,,,,Beaver Stadium,,,,,,,,,,,,,,,,,,,,2025-11-14T17:05:30.742659+00:00
401752909,2025,13,,,,,,,,Wrigley Field,,,,,,,,,,,,,,,,,,,,2025-11-14T17:05:30.742659+00:00
401754600,2025,13,,,,,,,,Kenan Stadium,,,,,,,,,,,,,,,,,,,,2025-11-14T17:05:30.742659+00:00
401756956,2025,13,,,,,,,,Folsom Field,,,,,,,,,,,,,,,,,,,,2025-11-14T17:05:30.742659+00:00
401760416,2025,13,,,,,,,,Albertsons Stadium,,,,,,,,,,,,,,,,,,,,2025-11-14T17:05:30.742659+00:00
401756958,2025,13,,,,,,,,Jack Trice Stadium,,,,,,,,,,,,,,,,,,,,2025-11-14T17:05:30.742659+00:00
401756960,2025,13,,,,,,,,Rice-Eccles Stadium,,,,,,,,,,,,,,,,,,,,2025-11-14T17:05:30.742659+00:00
401754602,2025,13,,,,,,,,Gerald J. Ford Stadium,,,,,,,,,,,,,,,,,,,,2025-11-14T17:05:30.742659+00:00
401756954,2025,13,,,,,,,,Arizona Stadium,,,,,,,,,,,,,,,,,,,,2025-11-14T17:05:30.742659+00:00
401756955,2025,13,,,,,,,,Nippert Stadium,,,,,,,,,,,,,,,,,,,,2025-11-14T17:05:30.742659+00:00
401756957,2025,13,,,,,,,,TDECU Stadium,,,,,,,,,,,,,,,,,,,,2025-11-14T17:05:30.742659+00:00
401752775,2025,13,,,,,,,,Ben Hill Griffin Stadium,,,,,,,,,,,,,,,,,,,FLEX: 3:30 - 4:30pm OR 6 - 8pm ET start,2025-11-14T17:05:30.742659+00:00
401760420,2025,13,,,,,,,,Snapdragon Stadium,,,,,,,,,,,,,,,,,,,,2025-11-14T17:05:30.742659+00:00
401762512,2025,13,,,,,,,,Michie Stadium,,,,,,,,,,,,,,,,,,,,2025-11-14T17:05:30.742659+00:00
401767403,2025,13,,,,,,,,Hughes Stadium,,,,,,,,,,,,,,,,,,,,2025-11-14T17:05:30.742659+00:00
401752781,2025,13,,,,,,,,Kyle Field,,,,,,,,,,,,,,,,,,,,2025-11-14T17:05:30.742659+00:00
401767139,2025,13,,,,,,,,Kenneth P. LaValle Stadium,,,,,,,,,,,,,,,,,,,,2025-11-14T17:05:30.742659+00:00
401767264,2025,13,,,,,,,,Kessler Stadium,,,,,,,,,,,,,,,,,,,,2025-11-14T17:05:30.742659+00:00
401767678,2025,13,,,,,,,,Brown Stadium,,,,,,,,,,,,,,,,,,,,2025-11-14T17:05:30.742659+00:00
401767708,2025,13,,,,,,,,Yale Bowl,,,,,,,,,,,,,,,,,,,,2025-11-14T17:05:30.742659+00:00
401752778,2025,13,,,,,,,,"Memorial Stadium (Norman, OK)",,,,,,,,,,,,,,,,,,,,2025-11-14T17:05:30.742659+00:00
401754606,2025,13,,,,,,,,Allegacy Federal Credit Union Stadium,,,,,,,,,,,,,,,,,,,,2025-11-14T17:05:30.742659+00:00
401767718,2025,13,,,,,,,,Duane Stadium,,,,,,,,,,,,,,,,,,,,2025-11-14T17:05:30.742659+00:00
401767591,2025,13,,,,,,,,Alumni Memorial Field,,,,,,,,,,,,,,,,,,,,2025-11-14T17:05:30.742659+00:00
401767738,2025,13,,,,,,,,Fisher Field,,,,,,,,,,,,,,,,,,,,2025-11-14T17:05:30.742659+00:00
401752776,2025,13,,,,,,,,Sanford Stadium,,,,,,,,,,,,,,,,,,,,2025-11-14T17:05:30.742659+00:00
401767647,2025,13,,,,,,,,Spec Martin Municipal Stadium,,,,,,,,,,,,,,,,,,,,2025-11-14T17:05:30.742659+00:00
401767725,2025,13,,,,,,,,Fitton Field,,,,,,,,,,,,,,,,,,,,2025-11-14T17:05:30.742659+00:00
401767770,2025,13,,,,,,,,W.B. Mason Stadium,,,,,,,,,,,,,,,,,,,,2025-11-14T17:05:30.742659+00:00
401761657,2025,13,,,,,,,,Allen E. Paulson Stadium,,,,,,,,,,,,,,,,,,,,2025-11-14T17:05:30.742659+00:00
401788996,2025,13,,,,,,,,Franklin Field,,,,,,,,,,,,,,,,,,,,2025-11-14T17:05:30.742659+00:00
401767564,2025,13,,,,,,,,William B. Greene Jr. Stadium,,,,,,,,,,,,,,,,,,,,2025-11-14T17:05:30.742659+00:00
401767445,2025,13,,,,,,,,Hancock Stadium,,,,,,,,,,,,,,,,,,,,2025-11-14T17:05:30.742659+00:00
401767633,2025,13,,,,,,,,Bailey Memorial Stadium,,,,,,,,,,,,,,,,,,,,2025-11-14T17:05:30.742659+00:00
401767671,2025,13,,,,,,,,Andy Kerr Stadium,,,,,,,,,,,,,,,,,,,,2025-11-14T17:05:30.742659+00:00
401767148,2025,13,,,,,,,,Johnny Unitas Stadium,,,,,,,,,,,,,,,,,,,,2025-11-14T17:05:30.742659+00:00
401767188,2025,13,,,,,,,,Meade Stadium,,,,,,,,,,,,,,,,,,,,2025-11-14T17:05:30.742659+00:00
401767195,2025,13,,,,,,,,Wildcat Stadium,,,,,,,,,,,,,,,,,,,,2025-11-14T17:05:30.742659+00:00
401767234,2025,13,,,,,,,,Tucker Stadium,,,,,,,,,,,,,,,,,,,,2025-11-14T17:05:30.742659+00:00
401767338,2025,13,,,,,,,,Villanova Stadium,,,,,,,,,,,,,,,,,,,,2025-11-14T17:05:30.742659+00:00
401767349,2025,13,,,,,,,,Alumni Stadium,,,,,,,,,,,,,,,,,,,,2025-11-14T17:05:30.742659+00:00
401767340,2025,13,,,,,,,,Zable Stadium,,,,,,,,,,,,,,,,,,,,2025-11-14T17:05:30.742659+00:00
401767453,2025,13,,,,,,,,Memorial Stadium,,,,,,,,,,,,,,,,,,,,2025-11-14T17:05:30.742659+00:00
401767601,2025,13,,,,,,,,Butler Bowl,,,,,,,,,,,,,,,,,,,,2025-11-14T17:05:30.742659+00:00
401767611,2025,13,,,,,,,,Richardson Stadium,,,,,,,,,,,,,,,,,,,,2025-11-14T17:05:30.742659+00:00
401767625,2025,13,,,,,,,,Drake Stadium,,,,,,,,,,,,,,,,,,,,2025-11-14T17:05:30.742659+00:00
401767557,2025,13,,,,,,,,Gibbs Stadium,,,,,,,,,,,,,,,,,,,,2025-11-14T17:05:30.742659+00:00
401767208,2025,13,,,,,,,,Ernest W. Spangler Stadium,,,,,,,,,,,,,,,,,,,,2025-11-14T17:05:30.742659+00:00
401752774,2025,13,,,,,,,,Jordan-Hare Stadium,,,,,,,,,,,,,,,,,,,,2025-11-14T17:05:30.742659+00:00
401767215,2025,13,,,,,,,,Houck Field,,,,,,,,,,,,,,,,,,,,2025-11-14T17:05:30.742659+00:00
401767508,2025,13,,,,,,,,Alerus Center,,,,,,,,,,,,,,,,,,,,2025-11-14T17:05:30.742659+00:00
401767540,2025,13,,,,,,,,UNI-Dome,,,,,,,,,,,,,,,,,,,,2025-11-14T17:05:30.742659+00:00
401767756,2025,13,,,,,,,,Joe Walton Stadium,,,,,,,,,,,,,,,,,,,,2025-11-14T17:05:30.742659+00:00
401752773,2025,13,,,,,,,,Bryant-Denny Stadium,,,,,,,,,,,,,,,,,,,,2025-11-14T17:05:30.742659+00:00
