id,driveId,gameId,driveNumber,playNumber,offense,offenseConference,offenseScore,defense,home,away,defenseConference,defenseScore,period,clock,offenseTimeouts,defenseTimeouts,yardline,yardsToGoal,down,distance,yardsGained,scoring,playType,playText,ppa,wallclock
401760663_91753,401760663_2,401760663,2,23,UCF,Big 12,28,Kennesaw State,Kennesaw State,UCF,Conference USA,24,2,"{""minutes"": 1, ""seconds"": 1}",3,3,away 53,9,1.0,12.0,6,False,Pass,Mock Pass play #23,1.185717480626696,2025-12-12T22:56:51.000Z
401760663_91754,401760663_3,401760663,3,24,Kennesaw State,Conference USA,15,UCF,Kennesaw State,UCF,Big 12,42,2,"{""minutes"": 3, ""seconds"": 0}",2,0,home 19,70,,,0,False,Punt,Mock Punt play #24,0.21597683661035227,2025-12-05T07:52:51.000Z
401760663_91755,401760663_3,401760663,3,25,Kennesaw State,Conference USA,26,UCF,Kennesaw State,UCF,Big 12,9,2,"{""minutes"": 1, ""seconds"": 18}",3,3,home 81,22,,,0,False,Timeout,Mock Timeout play #25,0.08667347827067504,2025-11-20T18:05:08.000Z
401760663_91756,401760663_3,401760663,3,26,Kennesaw State,Conference USA,15,UCF,Kennesaw State,UCF,Big 12,18,2,"{""minutes"": 2, ""seconds"": 21}",0,0,home 40,96,1.0,4.0,1,False,Pass,Mock Pass play #26,0.12896577952681648,2025-11-23T20:40:43.000Z
401760663_91757,401760663_3,401760663,3,27,Kennesaw State,Conference USA,32,UCF,Kennesaw State,UCF,Big 12,10,2,"{""minutes"": 1, ""seconds"": 45}",1,3,home 71,72,3.0,12.0,2,False,Run,Mock Run play #27,0.7121263595285876,2025-12-12T17:24:26.000Z
401760663_91758,401760663_3,401760663,3,28,UCF,Big 12,7,Kennesaw State,Kennesaw State,UCF,Conference USA,20,2,"{""minutes"": 14, ""seconds"": 11}",2,2,away 7,36,,,3,False,Pass,Mock Pass play #28,0.4753224908663173,2025-12-11T14:48:14.000Z
401760663_91759,401760663_3,401760663,3,29,Kennesaw State,Conference USA,37,UCF,Kennesaw State,UCF,Big 12,33,2,"{""minutes"": 13, ""seconds"": 51}",1,1,home 26,52,1.0,9.0,17,False,Pass,Mock Pass play #29,-0.9700371241438189,2025-12-03T06:54:07.000Z
401760663_91760,401760663_3,401760663,3,30,UCF,Big 12,11,Kennesaw State,Kennesaw State,UCF,Conference USA,0,3,"{""minutes"": 8, ""seconds"": 54}",3,3,away 71,28,3.0,1.0,-8,False,Run,Mock Run play #30,-0.4562151284580195,2025-11-12T12:14:25.000Z
401760663_91761,401760663_3,401760663,3,31,UCF,Big 12,37,Kennesaw State,Kennesaw State,UCF,Conference USA,4,3,"{""minutes"": 12, ""seconds"": 10}",0,0,away 19,33,1.0,11.0,-1,False,Pass,Mock Pass play #31,0.2855104158304383,2025-12-07T02:22:05.000Z
401760663_91762,401760663_3,401760663,3,32,Kennesaw State,Conference USA,33,UCF,Kennesaw State,UCF,Big 12,0,3,"{""minutes"": 13, ""seconds"": 6}",1,3,home 34,70,,,8,False,Run,Mock Run play #32,0.22978221611809194,2025-11-16T11:56:38.000Z
